path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01751940000394825,0.021101599995745346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021123400001670234,0.03661209999700077,0.03661209999700077,14.587393199995859,space,14.541444600006798,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.587442500007455,14.604825100002927,14.604825100002927,28.171408299996983,space,13.557517000008374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
abrupt_videos\abrupt_22.mp4,34,0,44,44,0,,,,,,,,,,0,44,44,24,,,,,1556.3859962999995,,,,,,,,,,,,,,,,,,,,,,,,1556.335187500008,1556.3859962999995,1556.3859962999995,1591.1510742999963,1591.0031127999973,None,0,1,1591.138454800006,1591.1510742999963,1593.6530776,1593.6378706999967,[5.812907100000302],[None],1593.6379525000084,1593.6530776,1593.6530776,1643.7718930999981,space,50.11698230000911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,0,0,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['l'],0,[14.088629300007597],[None],2,39.19864360000065,,,,,0,0,0,20,1643.8013268000068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.7915615000093,1643.8013268000068,1643.8013268000068,1643.8013268000068,1643.8013268000068,1643.8013268000068,1643.8013268000068,1657.9043009000015,['l'],0,[14.088629300007597],[None],1657.9051730000065,1657.9343016000057,1657.9343016000057,1657.9343016000057,1697.1203370000003,2,39.19864360000065,2,39.19864360000065,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,1,1,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[20.329052700006287],[None],2,2.798497800002224,,,,,0,1,1,5,1697.1850084000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.1701746000035,1697.1850084000034,1697.1850084000034,1697.1850084000034,1697.1850084000034,1697.1850084000034,1697.1850084000034,1717.5206519000058,['l'],1,[20.329052700006287],[None],1717.5217372000043,1717.5362553000014,1717.5362553000014,1717.5362553000014,1720.3375212999963,2,2.798497800002224,2,2.798497800002224,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,2,2,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],0,[12.19232839999313],[None],3,1.83216469999752,,,,,0,2,2,12,1720.4017316999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720.3868814000016,1720.4017316999962,1720.4017316999962,1720.4017316999962,1720.4017316999962,1720.4017316999962,1720.4017316999962,1732.603913800005,['l'],0,[12.19232839999313],[None],1732.6046589000034,1732.6197068000038,1732.6197068000038,1732.6197068000038,1734.5015380999976,3,1.83216469999752,3,1.83216469999752,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,3,3,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['r'],1,[20.126628799989703],[None],4,1.4982753999938723,,,,,0,3,3,13,1734.5554063000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734.5462896999961,1734.5554063000018,1734.5554063000018,1734.5554063000018,1734.5554063000018,1734.5554063000018,1734.5554063000018,1754.6878149999975,['r'],1,[20.126628799989703],[None],1754.6887722999963,1754.7027652999968,1754.7027652999968,1754.7027652999968,1756.204072499997,4,1.4982753999938723,4,1.4982753999938723,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,4,4,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['r'],1,[9.658514099995955],[None],3,1.4495929000113392,,,,,0,4,4,26,1756.2235752999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1756.2136414999986,1756.2235752999986,1756.2235752999986,1756.2235752999986,1756.2235752999986,1756.2235752999986,1756.2235752999986,1765.8876525000087,['r'],1,[9.658514099995955],[None],1765.8884315000032,1765.9031082000001,1765.9031082000001,1765.9031082000001,1767.352830600008,3,1.4495929000113392,3,1.4495929000113392,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
,,,5,5,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['r'],1,[5.7987981000042055],[None],5,1.2968882000131998,,,,,0,5,5,28,1767.371199000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767.363380099996,1767.371199000001,1767.371199000001,1767.371199000001,1767.371199000001,1767.371199000001,1767.371199000001,1773.1725661000091,['r'],1,[5.7987981000042055],[None],1773.1736296000017,1773.1857506000088,1773.1857506000088,1773.1857506000088,1774.4863096000045,5,1.2968882000131998,5,1.2968882000131998,,,,,,,,Sub39_AB,001,2026-01-19_17h56.12.732,recognitionstage,,2025.1.1,59.9513914098711,2026-01-19 17h58.42.001049 +0530,
