path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.018750799994450063,0.024451200006296858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024472200020682067,0.036981500015826896,0.036981500015826896,10.387989700015169,space,10.348258799989708,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.388041400001384,10.4049631000089,10.4049631000089,23.189190900011454,space,12.780539899977157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
Trimmed_videos/natural_10.mp4,37,0,44,44,0,,,,,,,,,,0,44,44,11,,,,,1513.503405800002,,,,,,,,,,,,,,,,,,,,,,,,1513.453840800008,1513.503405800002,1513.503405800002,1550.8028598999954,1550.6536970000016,None,0,1,1550.7894002000103,1550.8028598999954,1553.2888251999975,1553.3048992000113,6.054537599993637,None,1553.2888949000044,1553.3048992000113,1553.3048992000113,1578.9383127000183,space,25.624403800000437,None,,,,,,,,,,,,,,,,,,,,,,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,0,0,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],1,[10.495514399983222],[None],4,9.750370900001144,,,,,0,0,0,24,1578.9857842000201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578.9781692000106,1578.9857842000201,1578.9857842000201,1578.9857842000201,1578.9857842000201,1578.9857842000201,1578.9857842000201,1589.4885545000143,['r'],1,[10.495514399983222],[None],1589.4895380999951,1589.503816100012,1589.503816100012,1589.503816100012,1599.2541450000135,4,9.750370900001144,4,9.750370900001144,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,1,1,0,16,frames\Vid16_EM_T.png,frames\Vid16_L.png,['l'],1,[8.569984300003853],[None],5,2.2796151000075042,,,,,0,1,1,15,1599.3192085000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1599.311355200014,1599.3192085000046,1599.3192085000046,1599.3192085000046,1599.3192085000046,1599.3192085000046,1599.3192085000046,1607.9069772000075,['l'],1,[8.569984300003853],[None],1607.9082120000094,1607.9352497000073,1607.9352497000073,1607.9352497000073,1610.203699500009,5,2.2796151000075042,5,2.2796151000075042,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,2,2,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['l'],1,[10.5007899000193],[None],4,2.1298377999919467,,,,,0,2,2,26,1610.2525538000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.2411237000197,1610.2525538000045,1610.2525538000045,1610.2525538000045,1610.2525538000045,1610.2525538000045,1610.2525538000045,1620.756838900008,['l'],1,[10.5007899000193],[None],1620.7578723000188,1620.7705162000202,1620.7705162000202,1620.7705162000202,1622.9049121999997,4,2.1298377999919467,4,2.1298377999919467,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,3,3,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['l'],1,[3.3757026999955997],[None],5,1.5317999999970198,,,,,0,3,3,16,1622.953609899996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.9443044000072,1622.953609899996,1622.953609899996,1622.953609899996,1622.953609899996,1622.953609899996,1622.953609899996,1626.3389239000098,['l'],1,[3.3757026999955997],[None],1626.339664900006,1626.353377099993,1626.353377099993,1626.353377099993,1627.8878121000016,5,1.5317999999970198,5,1.5317999999970198,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,4,4,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],1,[5.574819600005867],[None],5,1.6476544000033755,,,,,0,4,4,25,1627.938447099994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.9181946000026,1627.938447099994,1627.938447099994,1627.938447099994,1627.938447099994,1627.938447099994,1627.938447099994,1633.5229938999983,['l'],1,[5.574819600005867],[None],1633.5239300999965,1633.5520397000073,1633.5520397000073,1633.5520397000073,1635.1879342000175,5,1.6476544000033755,5,1.6476544000033755,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
,,,5,5,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['r'],1,[6.356433500011917],[None],4,2.1322146999882534,,,,,0,5,5,36,1635.2369451000122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.214947600005,1635.2369451000122,1635.2369451000122,1635.2369451000122,1635.2369451000122,1635.2369451000122,1635.2369451000122,1641.6058908000123,['r'],1,[6.356433500011917],[None],1641.6068197000131,1641.620392700017,1641.620392700017,1641.620392700017,1643.7541907000123,4,2.1322146999882534,4,2.1322146999882534,,,,Sub40_NB,001,2026-01-20_09h57.08.048,recognitionstage,,2025.1.1,59.93392883262825,2026-01-20 09h59.42.538384 +0530,
