path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.019777499954216182,0.022177499951794744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02219999994849786,0.03884899994591251,0.03884899994591251,9.79014219995588,space,9.744345200015232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.790192599990405,9.807462599943392,9.807462599943392,20.290661299950443,space,10.479864399996586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
abrupt_videos\abrupt_25.mp4,41,0,44,44,0,,,,,,,,,,0,44,44,27,,,,,1546.2726244999794,,,,,,,,,,,,,,,,,,,,,,,,1546.2269502999843,1546.2726244999794,1546.2726244999794,1588.3369131999789,1588.1965001999633,None,0,1,1588.3322588999872,1588.3369131999789,1590.8245918999892,1590.8395292999921,22.651721799978986,None,1590.8246824999806,1590.8395292999921,1590.8395292999921,1611.3240930999746,space,20.471876700001303,None,,,,,,,,,,,,,,,,,,,,,,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,0,0,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['r'],1,[7.67725629999768],[None],4,6.581862699997146,,,,,0,0,0,37,1611.3539011999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.3408443999942,1611.3539011999965,1611.3539011999965,1611.3539011999965,1611.3539011999965,1611.3539011999965,1611.3539011999965,1619.0412030999432,['r'],1,[7.67725629999768],[None],1619.0418150999467,1619.0552546999534,1619.0552546999534,1619.0552546999534,1625.639616899949,4,6.581862699997146,4,6.581862699997146,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,1,1,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['r'],1,[10.599624800030142],[None],4,2.3977038000011817,,,,,0,1,1,26,1625.6715270999703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625.6514654999482,1625.6715270999703,1625.6715270999703,1625.6715270999703,1625.6715270999703,1625.6715270999703,1625.6715270999703,1636.2742309999885,['r'],1,[10.599624800030142],[None],1636.275249899947,1636.288836599968,1636.288836599968,1636.288836599968,1638.68974849995,4,2.3977038000011817,4,2.3977038000011817,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,2,2,0,34,frames\Vid34_BB_T.png,frames\Vid34_L.png,['l'],1,[4.788295199978165],[None],5,2.1470659999758936,,,,,0,2,2,33,1638.7069054999738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.6990450999583,1638.7069054999738,1638.7069054999738,1638.7069054999738,1638.7069054999738,1638.7069054999738,1638.7069054999738,1643.5083415999543,['l'],1,[4.788295199978165],[None],1643.509915499948,1643.5371927999659,1643.5371927999659,1643.5371927999659,1645.6725738999667,5,2.1470659999758936,5,2.1470659999758936,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,3,3,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['r'],0,[7.196662399976049],[None],1,2.798210700042546,,,,,0,3,3,12,1645.7225554999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.705507799983,1645.7225554999895,1645.7225554999895,1645.7225554999895,1645.7225554999895,1645.7225554999895,1645.7225554999895,1652.924207199947,['r'],0,[7.196662399976049],[None],1652.9252003000001,1652.9387944999617,1652.9387944999617,1652.9387944999617,1655.739714699972,1,2.798210700042546,1,2.798210700042546,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,4,4,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['l'],1,[3.284513600054197],[None],5,2.2126438999548554,,,,,0,4,4,35,1655.7709297999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655.7628294999595,1655.7709297999972,1655.7709297999972,1655.7709297999972,1655.7709297999972,1655.7709297999972,1655.7709297999972,1659.0589180999668,['l'],1,[3.284513600054197],[None],1659.0600991999963,1659.0719244999927,1659.0719244999927,1659.0719244999927,1661.289680099988,5,2.2126438999548554,5,2.2126438999548554,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
,,,5,5,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['r'],1,[9.939072199980728],[None],5,1.430258699983824,,,,,0,5,5,0,1661.356197599962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1661.3344075999921,1661.356197599962,1661.356197599962,1661.356197599962,1661.356197599962,1661.356197599962,1661.356197599962,1671.3087726999656,['r'],1,[9.939072199980728],[None],1671.3101449999958,1671.3369712999556,1671.3369712999556,1671.3369712999556,1672.7562685000012,5,1.430258699983824,5,1.430258699983824,,,,sub_113AB,001,2026-01-31_17h28.29.335,recognitionstage,,2025.1.1,59.9743669558746,2026-01-31 17h29.16.936025 +0530,
