path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,text_6.stopped,key_resp_4.stopped,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.004404100007377565,0.006797000009100884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006818200054112822,0.02343300002394244,0.02343300002394244,11.59033100004308,space,11.562582099984866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.590356700005941,11.606538800057024,11.606538800057024,18.459867200057488,space,6.8365734000108205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
abrupt_videos\abrupt_18.mp4,24,1,44,44,0,,,,,,,,,,0,44,44,19,,,,,1525.9067082000547,,,,,,,,,,,,,,,,,,,,,,,,1525.8641621000133,1525.9067082000547,1525.9067082000547,1522.6392832000274,1528.5920343000325,space,1,1,1528.6982435000245,1528.7060760000022,1531.1925819000462,1531.2080212000292,2.67184530000668,None,1531.1926579000428,1531.2080212000292,1531.2080212000292,1548.3757149000303,space,17.163041200023144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,0,0,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[2.5473391000414267],[None],5,6.7323662000126205,,,,,0,0,0,3,1548.4391626000288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548.427700900007,1548.4391626000288,1548.4391626000288,1548.4391626000288,1548.4391626000288,1548.4391626000288,1548.4391626000288,1550.9917848000186,['r'],0,[2.5473391000414267],[None],1550.9923851000494,1551.0064470000216,1551.0064470000216,1551.0064470000216,1557.7411722000106,5,6.7323662000126205,5,6.7323662000126205,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,1,1,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['l'],1,[2.9816714000189677],[None],5,1.9810448000207543,,,,,0,1,1,32,1557.7888658000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.771532200044,1557.7888658000156,1557.7888658000156,1557.7888658000156,1557.7888658000156,1557.7888658000156,1557.7888658000156,1560.7759554000222,['l'],1,[2.9816714000189677],[None],1560.7768992000492,1560.7899631000473,1560.7899631000473,1560.7899631000473,1562.774144200026,5,1.9810448000207543,5,1.9810448000207543,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,2,2,0,30,frames\Vid30_EM_T.png,frames\Vid30_L.png,['r'],0,[3.7145410000230186],[None],3,1.66461320000235,,,,,0,2,2,29,1562.7918069000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1562.782682500023,1562.7918069000007,1562.7918069000007,1562.7918069000007,1562.7918069000007,1562.7918069000007,1562.7918069000007,1566.509236700018,['r'],0,[3.7145410000230186],[None],1566.5102218000102,1566.523098900041,1566.523098900041,1566.523098900041,1568.1908504000166,3,1.66461320000235,3,1.66461320000235,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,3,3,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],1,[2.969908299972303],[None],3,2.814865300024394,,,,,0,3,3,12,1568.2404810000444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.2247097000363,1568.2404810000444,1568.2404810000444,1568.2404810000444,1568.2404810000444,1568.2404810000444,1568.2404810000444,1571.2254444000428,['l'],1,[2.969908299972303],[None],1571.2259969000006,1571.2399443000322,1571.2399443000322,1571.2399443000322,1574.0577362000477,3,2.814865300024394,3,2.814865300024394,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,4,4,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[2.685585400031414],[None],2,2.332328899996355,,,,,0,4,4,17,1574.092696800013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.0706082000397,1574.092696800013,1574.092696800013,1574.092696800013,1574.092696800013,1574.092696800013,1574.092696800013,1576.7911709000473,['l'],1,[2.685585400031414],[None],1576.7919427000452,1576.8068021000363,1576.8068021000363,1576.8068021000363,1579.1414915000205,2,2.332328899996355,2,2.332328899996355,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
,,,5,5,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['r'],1,[2.5388827999704517],[None],5,1.297003699990455,,,,,0,5,5,13,1579.2075283000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.1866228000144,1579.2075283000013,1579.2075283000013,1579.2075283000013,1579.2075283000013,1579.2075283000013,1579.2075283000013,1581.7598568000249,['r'],1,[2.5388827999704517],[None],1581.7610472000088,1581.7734026000253,1581.7734026000253,1581.7734026000253,1583.0740319000324,5,1.297003699990455,5,1.297003699990455,,,,,,,,sub116_AB,001,2026-01-31_19h32.14.994,recognitionstage,,2025.1.1,60.047617752968705,2026-01-31 19h33.16.631851 +0530,
