path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.008869000000231608,0.01128549999975803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011308399999506946,0.028048399999534013,0.028048399999534013,7.329996499999652,space,7.296120199999677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.330044000000271,7.344567000000097,7.344567000000097,17.862753399999747,space,10.507457099999556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
abrupt_videos\abrupt_19.mp4,36,0,44,44,0,,,,,,,,,,0,44,44,21,,,,,1564.9100396000003,,,,,,,,,,,,,,,,,,,,,,,,1564.8594870999996,1564.9100396000003,1564.9100396000003,1601.8764213000004,1601.7279090999991,None,0,1,1601.8635158999996,1601.8764213000004,1604.3783104999993,1604.3621988000004,9.245199400000274,None,1604.3622793000004,1604.3783104999993,1604.3783104999993,1627.2784077999995,space,22.889091799999733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,0,0,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['r'],1,[3.142324300000837],[None],5,4.76502310000069,,,,,0,0,0,31,1627.3090602999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.296292599999,1627.3090602999991,1627.3090602999991,1627.3090602999991,1627.3090602999991,1627.3090602999991,1627.3090602999991,1630.462525599999,['r'],1,[3.142324300000837],[None],1630.463289799999,1630.4768333000002,1630.4768333000002,1630.4768333000002,1635.2443649000006,5,4.76502310000069,5,4.76502310000069,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,1,1,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['r'],1,[3.126386399999319],[None],4,1.4982065000003786,,,,,0,1,1,14,1635.3091450000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.2981871999991,1635.3091450000002,1635.3091450000002,1635.3091450000002,1635.3091450000002,1635.3091450000002,1635.3091450000002,1638.4461440999994,['r'],1,[3.126386399999319],[None],1638.4471729999996,1638.4604948000006,1638.4604948000006,1638.4604948000006,1639.9617308000006,4,1.4982065000003786,4,1.4982065000003786,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,2,2,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[15.922747900000104],[None],4,0.9472252999985358,,,,,0,2,2,18,1639.992734299999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.9851210000006,1639.992734299999,1639.992734299999,1639.992734299999,1639.992734299999,1639.992734299999,1639.992734299999,1655.9301181,['l'],1,[15.922747900000104],[None],1655.9319425999993,1655.9586475999995,1655.9586475999995,1655.9586475999995,1656.8941786999994,4,0.9472252999985358,4,0.9472252999985358,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,3,3,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['l'],1,[6.3470424999995885],[None],5,0.8993847000001551,,,,,0,3,3,1,1656.9443225000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.9334346000005,1656.9443225000005,1656.9443225000005,1656.9443225000005,1656.9443225000005,1656.9443225000005,1656.9443225000005,1663.2959617999995,['l'],1,[6.3470424999995885],[None],1663.296665499999,1663.3101713000005,1663.3101713000005,1663.3101713000005,1664.2106747000007,5,0.8993847000001551,5,0.8993847000001551,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,4,4,0,34,frames\Vid34_BB_T.png,frames\Vid34_L.png,['l'],0,[10.148583000000144],[None],2,2.214329299999008,,,,,0,4,4,33,1664.246759999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.2224309999992,1664.246759999999,1664.246759999999,1664.246759999999,1664.246759999999,1664.246759999999,1664.246759999999,1674.3961384000004,['l'],0,[10.148583000000144],[None],1674.3970660000005,1674.4100891999997,1674.4100891999997,1674.4100891999997,1676.6279841999994,2,2.214329299999008,2,2.214329299999008,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
,,,5,5,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['r'],0,[4.607224499999575],[None],3,1.2644843999987643,,,,,0,5,5,21,1676.6601684999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676.6415583999997,1676.6601684999996,1676.6601684999996,1676.6601684999996,1676.6601684999996,1676.6601684999996,1676.6601684999996,1681.2800257999997,['r'],0,[4.607224499999575],[None],1681.2810304999994,1681.293528199999,1681.293528199999,1681.293528199999,1682.5608776,3,1.2644843999987643,3,1.2644843999987643,,,,,,,,sub121_AB,001,2026-02-01_16h01.46.910,recognitionstage,,2025.1.1,59.95656746270239,2026-02-01 16h02.47.295445 +0530,
