path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.015011399998911656,0.017484500000136904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01750539999920875,0.03435220000028494,0.03435220000028494,8.769431999997323,space,8.71897810000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.769479599999613,8.784655599996768,8.784655599996768,16.170057299998007,space,7.37683730000208,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
abrupt_videos\abrupt_16.mp4,34,0,44,44,0,,,,,,,,,,0,44,44,17,,,,,1501.3331706999998,,,,,,,,,,,,,,,,,,,,,,,,1501.2863306,1501.3331706999998,1501.3331706999998,1535.7319346999975,1535.5895384999967,None,0,1,1535.7257393,1535.7319346999975,1538.2340629999999,1538.2190143999978,2.5627017000006163,None,1538.2190945999973,1538.2340629999999,1538.2340629999999,1567.1013542,space,28.854879899998195,None,,,,,,,,,,,,,,,,,,,,,,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,0,0,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[5.781267700000171],[None],5,6.331232699998509,,,,,0,0,0,18,1567.1319721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567.1213151999982,1567.1319721,1567.1319721,1567.1319721,1567.1319721,1567.1319721,1567.1319721,1572.919312099999,['l'],1,[5.781267700000171],[None],1572.9199704999992,1572.9331121999967,1572.9331121999967,1572.9331121999967,1579.2671444999978,5,6.331232699998509,5,6.331232699998509,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,1,1,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['l'],1,[8.774241099999927],[None],5,1.68087309999828,,,,,0,1,1,28,1579.2986814999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.2836099999986,1579.2986814999967,1579.2986814999967,1579.2986814999967,1579.2986814999967,1579.2986814999967,1579.2986814999967,1588.0855427999995,['l'],1,[8.774241099999927],[None],1588.0863922999997,1588.0997530999994,1588.0997530999994,1588.0997530999994,1589.7841343999971,5,1.68087309999828,5,1.68087309999828,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,2,2,0,9,frames\Vid9_EM_T.png,frames\Vid9_L.png,['l'],1,[4.511006299999281],[None],5,1.148681900001975,,,,,0,2,2,8,1589.833768499997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.8236399999987,1589.833768499997,1589.833768499997,1589.833768499997,1589.833768499997,1589.833768499997,1589.833768499997,1594.3514445,['l'],1,[4.511006299999281],[None],1594.3521299999993,1594.3665594999984,1594.3665594999984,1594.3665594999984,1595.5182590999975,5,1.148681900001975,5,1.148681900001975,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,3,3,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[4.9884753999976965],[None],5,1.948557100000471,,,,,0,3,3,17,1595.5485160999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.5424175999979,1595.5485160999997,1595.5485160999997,1595.5485160999997,1595.5485160999997,1595.5485160999997,1595.5485160999997,1600.5517464999975,['l'],1,[4.9884753999976965],[None],1600.5526770999968,1600.5667198999981,1600.5667198999981,1600.5667198999981,1602.5174114000001,5,1.948557100000471,5,1.948557100000471,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,4,4,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],0,[2.705841300001339],[None],5,1.6971780999992916,,,,,0,4,4,12,1602.567185099997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.5509826999987,1602.567185099997,1602.567185099997,1602.567185099997,1602.567185099997,1602.567185099997,1602.567185099997,1605.2865220999993,['l'],0,[2.705841300001339],[None],1605.2875478999995,1605.2998824999995,1605.2998824999995,1605.2998824999995,1607.0009379000003,5,1.6971780999992916,5,1.6971780999992916,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
,,,5,5,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[2.731432799999311],[None],5,2.165265100000397,,,,,0,5,5,11,1607.0695479999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607.0460679999997,1607.0695479999995,1607.0695479999995,1607.0695479999995,1607.0695479999995,1607.0695479999995,1607.0695479999995,1609.8189751999998,['r'],1,[2.731432799999311],[None],1609.8199411999994,1609.8332609999998,1609.8332609999998,1609.8332609999998,1612.0008586999975,5,2.165265100000397,5,2.165265100000397,,,,sub124_AB,001,2026-02-01_19h04.50.798,recognitionstage,,2025.1.1,59.83967753687589,2026-02-01 19h05.33.955643 +0530,
