path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.015733999985968694,0.018150299991248176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018171899995650165,0.0342359999922337,0.0342359999922337,10.617285599990282,space,10.5743194000097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.617311899986817,10.634044099992025,10.634044099992025,22.386437299996032,space,11.750797400003648,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
abrupt_videos\abrupt_37.mp4,39,1,44,44,0,,,,,,,,,,0,44,44,40,,,,,1560.6829905999912,,,,,,,,,,,,,,,,,,,,,,,,1560.6301865999994,1560.6829905999912,1560.6829905999912,1557.4494438999973,1563.7847952999873,space,1,1,1563.8974550999992,1563.9158976999897,1566.4023808999918,1560.6829905999912,3.093224399999599,None,1566.4024809999974,1566.418100699986,1566.418100699986,1608.885229099993,space,42.462256500002695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,0,0,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['r'],1,[12.293005300001823],[None],3,13.847570099998848,,,,,0,0,0,18,1608.9151883999875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.9037192999967,1608.9151883999875,1608.9151883999875,1608.9151883999875,1608.9151883999875,1608.9151883999875,1608.9151883999875,1621.2189643999882,['r'],1,[12.293005300001823],[None],1621.220565999989,1621.2480470999872,1621.2480470999872,1621.2480470999872,1635.0843891999975,3,13.847570099998848,3,13.847570099998848,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,1,1,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['r'],1,[3.6909509999968577],[None],5,2.514798999996856,,,,,0,1,1,13,1635.149212599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.1355627999874,1635.149212599994,1635.149212599994,1635.149212599994,1635.149212599994,1635.149212599994,1635.149212599994,1638.8522968999896,['r'],1,[3.6909509999968577],[None],1638.8530551999866,1638.8667825999873,1638.8667825999873,1638.8667825999873,1641.383855699998,5,2.514798999996856,5,2.514798999996856,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,2,2,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['l'],1,[5.790874700003769],[None],5,1.1483315999939805,,,,,0,2,2,2,1641.4492376999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.4362392999901,1641.4492376999988,1641.4492376999988,1641.4492376999988,1641.4492376999988,1641.4492376999988,1641.4492376999988,1647.2522152999882,['l'],1,[5.790874700003769],[None],1647.2533183999913,1647.2821380999958,1647.2821380999958,1647.2821380999958,1648.417238199996,5,1.1483315999939805,5,1.1483315999939805,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,3,3,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['l'],1,[8.722582299989881],[None],4,2.582029199998942,,,,,0,3,3,19,1648.4377127999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648.4237004999886,1648.4377127999905,1648.4377127999905,1648.4377127999905,1648.4377127999905,1648.4377127999905,1648.4377127999905,1657.1681785999972,['l'],1,[8.722582299989881],[None],1657.1691233999882,1657.183164099988,1657.183164099988,1657.183164099988,1659.7679720999877,4,2.582029199998942,4,2.582029199998942,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,4,4,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[3.3107885000063106],[None],5,2.0981235000072047,,,,,0,4,4,5,1659.8334928999975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.8130582999875,1659.8334928999975,1659.8334928999975,1659.8334928999975,1659.8334928999975,1659.8334928999975,1659.8334928999975,1663.1523212999891,['l'],1,[3.3107885000063106],[None],1663.153225499991,1663.1662919999944,1663.1662919999944,1663.1662919999944,1665.2675600999937,5,2.0981235000072047,5,2.0981235000072047,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
,,,5,5,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['l'],1,[8.655071700006374],[None],5,1.3654879999958212,,,,,0,5,5,0,1665.3371440999908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.318788199991,1665.3371440999908,1665.3371440999908,1665.3371440999908,1665.3371440999908,1665.3371440999908,1665.3371440999908,1674.0013725999888,['l'],1,[8.655071700006374],[None],1674.002207499987,1674.016710699987,1674.016710699987,1674.016710699987,1675.3846923999954,5,1.3654879999958212,5,1.3654879999958212,,,,,,sub129_AB ,001,2026-02-02_13h23.31.011,recognitionstage,,2025.1.1,59.76514687690334,2026-02-02 13h24.23.695137 +0530,
