path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.0037251000030664727,0.006148400003439747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006169000000227243,0.022825099993497133,0.022825099993497133,13.725668900005985,space,13.695947399988654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.725740399997449,13.740778699997463,13.740778699997463,25.992683799995575,space,12.249583600001642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
abrupt_videos\abrupt_23.mp4,24,0,44,44,0,,,,,,,,,,0,44,44,25,,,,,1525.4216498000023,,,,,,,,,,,,,,,,,,,,,,,,1525.363396700006,1525.4216498000023,1525.4216498000023,1549.9210924999934,1549.7656806000014,None,0,1,1549.9021517999936,1549.9210924999934,1552.4068331000017,9.573323799995705,None,1525.4216498000023,1552.4069101999921,1552.4225600999926,1552.4225600999926,1579.9894809999969,space,27.559670300004655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,0,0,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['r'],1,[5.76933559999452],[None],4,5.814632199995685,,,,,0,0,0,28,1580.020547799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.0069228999928,1580.020547799999,1580.020547799999,1580.020547799999,1580.020547799999,1580.020547799999,1580.020547799999,1585.7907401999983,['r'],1,[5.76933559999452],[None],1585.7919354000041,1585.8198271,1585.8198271,1585.8198271,1591.6222423,4,5.814632199995685,4,5.814632199995685,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,1,1,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[6.911082899998291],[None],5,2.4638299999933224,,,,,0,1,1,2,1591.6708827999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.6645108999946,1591.6708827999973,1591.6708827999973,1591.6708827999973,1591.6708827999973,1591.6708827999973,1591.6708827999973,1598.591635299992,['r'],1,[6.911082899998291],[None],1598.5927228999935,1598.6051594000019,1598.6051594000019,1598.6051594000019,1601.0725145000033,5,2.4638299999933224,5,2.4638299999933224,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,2,2,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],1,[6.582060000000638],[None],5,1.2971672999992734,,,,,0,2,2,25,1601.1039740999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.0970002999966,1601.1039740999986,1601.1039740999986,1601.1039740999986,1601.1039740999986,1601.1039740999986,1601.1039740999986,1607.6916404999938,['l'],1,[6.582060000000638],[None],1607.692711900003,1607.7201286000054,1607.7201286000054,1607.7201286000054,1609.0061981000035,5,1.2971672999992734,5,1.2971672999992734,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,3,3,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['r'],1,[4.614173299996764],[None],5,0.9147221000021091,,,,,0,3,3,27,1609.023676900004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609.016226199994,1609.023676900004,1609.023676900004,1609.023676900004,1609.023676900004,1609.023676900004,1609.023676900004,1613.6406750000024,['r'],1,[4.614173299996764],[None],1613.6414317000017,1613.6551760000002,1613.6551760000002,1613.6551760000002,1614.5727928999986,5,0.9147221000021091,5,0.9147221000021091,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,4,4,0,16,frames\Vid16_EM_T.png,frames\Vid16_L.png,['l'],0,[6.751159899999038],[None],4,2.149042200006079,,,,,0,4,4,15,1614.6226049999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.612890000004,1614.6226049999968,1614.6226049999968,1614.6226049999968,1614.6226049999968,1614.6226049999968,1614.6226049999968,1621.389908199999,['l'],0,[6.751159899999038],[None],1621.3908078999957,1621.4054660999973,1621.4054660999973,1621.4054660999973,1623.5557783999975,4,2.149042200006079,4,2.149042200006079,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
,,,5,5,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],1,[4.013237100007245],[None],5,1.6148335999896517,,,,,0,5,5,12,1623.6086785999942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623.5893629999919,1623.6086785999942,1623.6086785999942,1623.6086785999942,1623.6086785999942,1623.6086785999942,1623.6086785999942,1627.6244510999968,['l'],1,[4.013237100007245],[None],1627.6252443999983,1627.6383563999989,1627.6383563999989,1627.6383563999989,1629.2560559999984,5,1.6148335999896517,5,1.6148335999896517,,,,,,sub134_AB,001,2026-02-02_18h32.45.846,recognitionstage,,2025.1.1,60.39792569317332,2026-02-02 18h33.51.502168 +0530,
