path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01753500002087094,0.02168040000833571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02170430001569912,0.03636880000703968,0.03636880000703968,8.119917900010478,space,8.070504700008314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11995890000253,8.136407200014219,8.136407200014219,15.837665900005959,space,7.698364900017623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
Trimmed_videos/natural_9.mp4,20,44,44,0,,,,,,,,,,0,44,44,10,,,,,1508.638248800009,,,,,,,,,,,,,,,,,,,,,,,,1508.5867214000027,1508.638248800009,1508.638248800009,1528.9045659000112,1528.9045659000112,1528.7537294000213,None,1528.8890958000266,1528.9045659000112,1531.3908639000147,1455.121304900007,4.6594802000036,None,1531.3909567000228,1531.406104100024,1531.406104100024,1552.5065176000062,space,21.086972499993863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,0,0,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['r'],1,[5.715141799999401],[None],5,5.428927900007693,,,,,0,0,0,32,1552.5703095000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.5600867000176,1552.5703095000063,1552.5703095000063,1552.5703095000063,1552.5703095000063,1552.5703095000063,1552.5703095000063,1558.292531300016,['r'],1,[5.715141799999401],[None],1558.294052800018,1558.3198834000214,1558.3198834000214,1558.3198834000214,1563.739622699999,5,5.428927900007693,5,5.428927900007693,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,1,1,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],1,[6.1778035999741405],[None],5,1.5974759999953676,,,,,0,1,1,24,1563.7873481000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.7722060000233,1563.7873481000133,1563.7873481000133,1563.7873481000133,1563.7873481000133,1563.7873481000133,1563.7873481000133,1569.9742312000017,['r'],1,[6.1778035999741405],[None],1569.975192700018,1570.0038423000078,1570.0038423000078,1570.0038423000078,1571.5899115000211,5,1.5974759999953676,5,1.5974759999953676,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,2,2,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],0,[11.116804899997078],[None],5,1.6478719000006095,,,,,0,2,2,7,1571.6725267000147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571.6601814000169,1571.6725267000147,1571.6725267000147,1571.6725267000147,1571.6725267000147,1571.6725267000147,1571.6725267000147,1582.791204500012,['r'],0,[11.116804899997078],[None],1582.7920847000205,1582.8048458000121,1582.8048458000121,1582.8048458000121,1584.4567219000019,5,1.6478719000006095,5,1.6478719000006095,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,3,3,0,9,frames\Vid9_EM_T.png,frames\Vid9_L.png,['l'],1,[3.5625193000014406],[None],5,1.5647781000006944,,,,,0,3,3,8,1584.554721100023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.5352247000264,1584.554721100023,1584.554721100023,1584.554721100023,1584.554721100023,1584.554721100023,1584.554721100023,1588.1239089000155,['l'],1,[3.5625193000014406],[None],1588.1245989000017,1588.1389028000121,1588.1389028000121,1588.1389028000121,1589.7065385000024,5,1.5647781000006944,5,1.5647781000006944,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,4,4,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],0,[5.870088199997554],[None],2,2.965150900010485,,,,,0,4,4,4,1589.77497150001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.755710700003,1589.77497150001,1589.77497150001,1589.77497150001,1589.77497150001,1589.77497150001,1589.77497150001,1595.6572160000214,['l'],0,[5.870088199997554],[None],1595.6580014000065,1595.6718760000076,1595.6718760000076,1595.6718760000076,1598.6397442000161,2,2.965150900010485,2,2.965150900010485,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
,,5,5,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['r'],1,[3.026779899984831],[None],5,2.130226999986917,,,,,0,5,5,19,1598.690828700026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.6685148000252,1598.690828700026,1598.690828700026,1598.690828700026,1598.690828700026,1598.690828700026,1598.690828700026,1601.7250579000101,['r'],1,[3.026779899984831],[None],1601.726139300008,1601.738638800016,1601.738638800016,1601.738638800016,1603.8729291000054,5,2.130226999986917,5,2.130226999986917,,,,,,sub14_NB,001,2026-01-18_09h03.10.088,recognitionstage,,2025.1.1,60.018749860485045,2026-01-18 09h06.49.235660 +0530,
