path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01760139997350052,0.08009149998542853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08012139998027124,0.10120099998312071,0.10120099998312071,9.322954699979164,space,9.215054799977224,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.323027299979003,9.336840399977518,9.336840399977518,19.971990299993195,space,10.619438299996546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
Trimmed_videos/natural_10.mp4,37,44,44,0,,,,,,,,,,0,44,44,11,,,,,1498.3046618999797,,,,,,,,,,,,,,,,,,,,,,,,1498.2523563999857,1498.3046618999797,1498.3046618999797,1535.5709761999897,1535.5709761999897,1535.4210224999988,None,1535.5566627999942,1535.5709761999897,1538.058685899974,2.263328900007764,None,1409.3049140999792,1538.0588136999868,1538.0722904999857,1538.0722904999857,1559.772930099978,space,21.694334300002083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,0,0,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['l'],1,[7.521309100004146],[None],5,9.01560199999949,,,,,0,0,0,6,1559.8371875999728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559.8229848999763,1559.8371875999728,1559.8371875999728,1559.8371875999728,1559.8371875999728,1559.8371875999728,1559.8371875999728,1567.3735688999877,['l'],1,[7.521309100004146],[None],1567.374761199986,1567.402958999999,1567.402958999999,1567.402958999999,1576.4058811999857,5,9.01560199999949,5,9.01560199999949,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,1,1,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['l'],0,[7.703713700000662],[None],4,1.8476543000142556,,,,,0,1,1,7,1576.4707687999762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.46588589999,1576.4707687999762,1576.4707687999762,1576.4707687999762,1576.4707687999762,1576.4707687999762,1576.4707687999762,1584.1911118999997,['l'],0,[7.703713700000662],[None],1584.1921519999742,1584.2049162999901,1584.2049162999901,1584.2049162999901,1586.0557310000004,4,1.8476543000142556,4,1.8476543000142556,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,2,2,0,34,frames\Vid34_BB_T.png,frames\Vid34_L.png,['r'],0,[7.7864752000023145],[None],3,2.7652016999782063,,,,,0,2,2,33,1586.075900099997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586.0654043999966,1586.075900099997,1586.075900099997,1586.075900099997,1586.075900099997,1586.075900099997,1586.075900099997,1593.8731064999884,['r'],0,[7.7864752000023145],[None],1593.8738629999862,1593.8884819999803,1593.8884819999803,1593.8884819999803,1596.6565121999884,3,2.7652016999782063,3,2.7652016999782063,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,3,3,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['l'],1,[4.277976200013654],[None],5,1.2987327000009827,,,,,0,3,3,31,1596.6884752999758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596.6712504999887,1596.6884752999758,1596.6884752999758,1596.6884752999758,1596.6884752999758,1596.6884752999758,1596.6884752999758,1600.9737217999937,['l'],1,[4.277976200013654],[None],1600.974521599972,1600.9880577999866,1600.9880577999866,1600.9880577999866,1602.2891554999806,5,1.2987327000009827,5,1.2987327000009827,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,4,4,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['l'],0,[4.0984040000184905],[None],5,1.5820702999772038,,,,,0,4,4,0,1602.3559481999837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.3369258999883,1602.3559481999837,1602.3559481999837,1602.3559481999837,1602.3559481999837,1602.3559481999837,1602.3559481999837,1606.456686199992,['l'],0,[4.0984040000184905],[None],1606.4575385999924,1606.4718462999735,1606.4718462999735,1606.4718462999735,1608.0560662999924,5,1.5820702999772038,5,1.5820702999772038,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
,,5,5,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['l'],1,[13.595076500001596],[None],3,2.3475512000150047,,,,,0,5,5,24,1608.091341899999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.0691205999756,1608.091341899999,1608.091341899999,1608.091341899999,1608.091341899999,1608.091341899999,1608.091341899999,1621.6914436999941,['l'],1,[13.595076500001596],[None],1621.692683799978,1621.7201470999862,1621.7201470999862,1621.7201470999862,1624.056221499981,3,2.3475512000150047,3,2.3475512000150047,,,,,,sub15_NB,001,2026-01-18_09h40.00.757,recognitionstage,,2025.1.1,59.553338060306345,2026-01-18 09h42.07.404627 +0530,
