path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.008577400003559887,0.010922300018137321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010945300018647686,0.027170600020326674,0.027170600020326674,8.563164999999572,space,8.529106500005582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.563216400012607,8.578181500022765,8.578181500022765,17.445160100003704,space,8.850010599999223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
Trimmed_videos/natural_36.mp4,18,0,44,44,0,,,,,,,,,,0,44,44,39,,,,,1678.5095112000126,,,,,,,,,,,,,,,,,,,,,,,,1678.4636969000276,1678.5095112000126,1678.5095112000126,1697.4411448000174,1697.2981216000044,None,0,1,1697.4328627000214,1697.4411448000174,1699.9287977000058,1699.9438455000054,1699.9288759000192,1699.9438455000054,1699.9438455000054,1722.2108533000282,space,22.251748700015014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,0,0,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['r'],1,[7.882005899999058],[None],4,7.331412900006399,,,,,0,0,0,27,1722.2416153000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722.227363300015,1722.2416153000086,1722.2416153000086,1722.2416153000086,1722.2416153000086,1722.2416153000086,1722.2416153000086,1730.1286991000234,['r'],1,[7.882005899999058],[None],1730.1296618000197,1730.1427761000232,1730.1427761000232,1730.1427761000232,1737.4767108000233,4,7.331412900006399,4,7.331412900006399,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,1,1,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['r'],1,[4.166721499990672],[None],5,2.231862299988279,,,,,0,1,1,36,1737.5086362000147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1737.4934321000183,1737.5086362000147,1737.5086362000147,1737.5086362000147,1737.5086362000147,1737.5086362000147,1737.5086362000147,1741.6778142000258,['r'],1,[4.166721499990672],[None],1741.6786830000055,1741.6931011000124,1741.6931011000124,1741.6931011000124,1743.927756900026,5,2.231862299988279,5,2.231862299988279,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,2,2,0,7,frames\Vid7_EM_T.png,frames\Vid7_L.png,['r'],1,[4.7785740999970585],[None],5,1.9984843999845907,,,,,0,2,2,6,1743.9769230000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1743.9706344000006,1743.9769230000093,1743.9769230000093,1743.9769230000093,1743.9769230000093,1743.9769230000093,1743.9769230000093,1748.7617846000066,['r'],1,[4.7785740999970585],[None],1748.7626255000068,1748.776095600013,1748.776095600013,1748.776095600013,1750.7766814000206,5,1.9984843999845907,5,1.9984843999845907,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,3,3,0,30,frames\Vid30_EM_T.png,frames\Vid30_L.png,['r'],1,[5.09907190001104],[None],5,1.6483490999962669,,,,,0,3,3,29,1750.8083006000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.7967604000005,1750.8083006000088,1750.8083006000088,1750.8083006000088,1750.8083006000088,1750.8083006000088,1750.8083006000088,1755.911598400009,['r'],1,[5.09907190001104],[None],1755.9125732000102,1755.941367500025,1755.941367500025,1755.941367500025,1757.5769893000252,5,1.6483490999962669,5,1.6483490999962669,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,4,4,0,1,frames\Vid1_EM_T.png,frames\Vid1_L.png,['l'],0,[14.32785370000056],[None],3,2.1815678999992087,,,,,0,4,4,0,1757.643592700013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757.6238570000278,1757.643592700013,1757.643592700013,1757.643592700013,1757.643592700013,1757.643592700013,1757.643592700013,1771.9782288999995,['l'],0,[14.32785370000056],[None],1771.9791413000203,1771.9932708000124,1771.9932708000124,1771.9932708000124,1774.177243800019,3,2.1815678999992087,3,2.1815678999992087,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,5,5,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['l'],1,[8.31660120000015],[None],2,2.6988531000097282,,,,,0,5,5,9,1774.2466706000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.2222081000218,1774.2466706000268,1774.2466706000268,1774.2466706000268,1774.2466706000268,1774.2466706000268,1774.2466706000268,1782.578170600027,['l'],1,[8.31660120000015],[None],1782.579197300016,1782.593086000008,1782.593086000008,1782.593086000008,1785.2942346000054,2,2.6988531000097282,2,2.6988531000097282,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,6,6,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['r'],1,[3.127994200011017],[None],5,1.632139900000766,,,,,0,6,6,14,1785.363438100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785.3440688000119,1785.363438100001,1785.363438100001,1785.363438100001,1785.363438100001,1785.363438100001,1785.363438100001,1788.4947110000066,['r'],1,[3.127994200011017],[None],1788.4956508000032,1788.509891900001,1788.509891900001,1788.509891900001,1790.1436770000146,5,1.632139900000766,5,1.632139900000766,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,7,7,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['r'],1,[2.9756587999872863],[None],5,2.047905199986417,,,,,0,7,7,26,1790.1639534000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790.1520206000132,1790.1639534000133,1790.1639534000133,1790.1639534000133,1790.1639534000133,1790.1639534000133,1790.1639534000133,1793.1456874000141,['r'],1,[2.9756587999872863],[None],1793.146722800011,1793.1748774000152,1793.1748774000152,1793.1748774000152,1795.210544200003,5,2.047905199986417,5,2.047905199986417,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,8,8,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['l'],1,[3.0010049999982584],[None],5,2.164221799990628,,,,,0,8,8,28,1795.242627300002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.2208468000172,1795.242627300002,1795.242627300002,1795.242627300002,1795.242627300002,1795.242627300002,1795.242627300002,1798.2454580000194,['l'],1,[3.0010049999982584],[None],1798.2462875000201,1798.2603701000044,1798.2603701000044,1798.2603701000044,1800.4276155000261,5,2.164221799990628,5,2.164221799990628,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,9,9,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],1,[3.014762500009965],[None],5,1.6635421999963,,,,,0,9,9,4,1800.476721300016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.4580535000132,1800.476721300016,1800.476721300016,1800.476721300016,1800.476721300016,1800.476721300016,1800.476721300016,1803.4962201000017,['l'],1,[3.014762500009965],[None],1803.497320000024,1803.50955420002,1803.50955420002,1803.50955420002,1805.1765820000146,5,1.6635421999963,5,1.6635421999963,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,10,10,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],1,[10.38224929998978],[None],4,1.8151093000196852,,,,,0,10,10,3,1805.2291318000061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805.2203950000112,1805.2291318000061,1805.2291318000061,1805.2291318000061,1805.2291318000061,1805.2291318000061,1805.2291318000061,1815.628090400016,['r'],1,[10.38224929998978],[None],1815.6290344000154,1815.643690900004,1815.643690900004,1815.643690900004,1817.4606849000265,4,1.8151093000196852,4,1.8151093000196852,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,11,11,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[8.769736099988222],[None],2,1.8972157000098377,,,,,0,11,11,11,1817.5297167000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817.5051979000273,1817.5297167000244,1817.5297167000244,1817.5297167000244,1817.5297167000244,1817.5297167000244,1817.5297167000244,1826.3128171999997,['r'],1,[8.769736099988222],[None],1826.3137469000067,1826.3261280000152,1826.3261280000152,1826.3261280000152,1828.226590300008,2,1.8972157000098377,2,1.8972157000098377,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,12,12,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['r'],1,[6.731143300014082],[None],5,1.7982100000081118,,,,,0,12,12,5,1828.2964106000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.2706777999992,1828.2964106000145,1828.2964106000145,1828.2964106000145,1828.2964106000145,1828.2964106000145,1828.2964106000145,1835.0451651000185,['r'],1,[6.731143300014082],[None],1835.0460198000073,1835.0593456000206,1835.0593456000206,1835.0593456000206,1836.8601789000095,5,1.7982100000081118,5,1.7982100000081118,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,13,13,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['l'],1,[4.329789600014919],[None],5,1.5644676000229083,,,,,0,13,13,32,1836.8815677000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1836.8688524000172,1836.8815677000093,1836.8815677000093,1836.8815677000093,1836.8815677000093,1836.8815677000093,1836.8815677000093,1841.22831950002,['l'],1,[4.329789600014919],[None],1841.2295984000084,1841.2430593000026,1841.2430593000026,1841.2430593000026,1842.810298300028,5,1.5644676000229083,5,1.5644676000229083,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,14,14,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['r'],1,[5.631742400000803],[None],5,2.6154678000020795,,,,,0,14,14,39,1842.8276418000169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.8175085000112,1842.8276418000169,1842.8276418000169,1842.8276418000169,1842.8276418000169,1842.8276418000169,1842.8276418000169,1848.4615658000112,['r'],1,[5.631742400000803],[None],1848.4624956000189,1848.4765354000265,1848.4765354000265,1848.4765354000265,1851.0933938000235,5,2.6154678000020795,5,2.6154678000020795,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,15,15,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['l'],1,[2.4055691999965347],[None],5,1.447444599994924,,,,,0,15,15,23,1851.125803300005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1851.1050601000024,1851.125803300005,1851.125803300005,1851.125803300005,1851.125803300005,1851.125803300005,1851.125803300005,1853.5453911000222,['l'],1,[2.4055691999965347],[None],1853.5463463000196,1853.5593013000034,1853.5593013000034,1853.5593013000034,1855.010293600004,5,1.447444599994924,5,1.447444599994924,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,16,16,0,35,frames\Vid35_EM_T.png,frames\Vid35_L.png,['r'],1,[7.53555219998816],[None],3,1.8472854999999981,,,,,0,16,16,34,1855.0278645000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.0181383000163,1855.0278645000071,1855.0278645000071,1855.0278645000071,1855.0278645000071,1855.0278645000071,1855.0278645000071,1862.5788724000158,['r'],1,[7.53555219998816],[None],1862.5799191000115,1862.5931124000053,1862.5931124000053,1862.5931124000053,1864.4441945000144,3,1.8472854999999981,3,1.8472854999999981,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,17,17,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['r'],1,[7.303127699997276],[None],4,2.230540499993367,,,,,0,17,17,21,1864.4762501000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.4575636000081,1864.4762501000077,1864.4762501000077,1864.4762501000077,1864.4762501000077,1864.4762501000077,1864.4762501000077,1871.7955946000002,['r'],1,[7.303127699997276],[None],1871.7967286000203,1871.8093182000157,1871.8093182000157,1871.8093182000157,1874.043444400013,4,2.230540499993367,4,2.230540499993367,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,18,18,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['l'],1,[8.213722999993479],[None],3,2.1490780000167433,,,,,0,18,18,38,1874.0616076000151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874.0516609000042,1874.0616076000151,1874.0616076000151,1874.0616076000151,1874.0616076000151,1874.0616076000151,1874.0616076000151,1882.277946600021,['l'],1,[8.213722999993479],[None],1882.2787761000218,1882.2930782000185,1882.2930782000185,1882.2930782000185,1884.4433965000208,3,2.1490780000167433,3,2.1490780000167433,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,19,19,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[7.03006550000282],[None],3,1.11323529999936,,,,,0,19,19,17,1884.461445300025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884.4539745000075,1884.461445300025,1884.461445300025,1884.461445300025,1884.461445300025,1884.461445300025,1884.461445300025,1891.4959088000178,['l'],1,[7.03006550000282],[None],1891.4968804000237,1891.5093164000136,1891.5093164000136,1891.5093164000136,1892.6272128000273,3,1.11323529999936,3,1.11323529999936,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
,,,20,20,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['l'],0,[4.039827300002798],[None],4,1.3474276999768335,,,,,0,20,20,25,1892.6595939000254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1892.641473100026,1892.6595939000254,1892.6595939000254,1892.6595939000254,1892.6595939000254,1892.6595939000254,1892.6595939000254,1896.712225300027,['l'],0,[4.039827300002798],[None],1896.7131551000057,1896.7261943000194,1896.7261943000194,1896.7261943000194,1898.0770128000004,4,1.3474276999768335,4,1.3474276999768335,,,,,,,,sub161_NB,001,2026-02-03_19h35.16.240,recognitionstage,,2025.1.1,60.04805045584317,2026-02-03 19h35.54.703732 +0530,
