path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,text_6.stopped,key_resp_4.stopped,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.018188799993367866,0.020541699981549755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02056309999898076,0.03681649998179637,0.03681649998179637,9.487552299979143,space,9.446612700005062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.487590699980501,9.504609600000549,9.504609600000549,17.82293879997451,space,8.31503800000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
Trimmed_videos/natural_22.mp4,34,0,44,44,0,,,,,,,,,,0,44,44,24,,,,,1507.5862875999883,,,,,,,,,,,,,,,,,,,,,,,,1507.5338026999962,1507.5862875999883,1507.5862875999883,1542.2188934999867,1542.069589199993,None,0,1,1542.2041381999734,1542.2188934999867,1544.7051108999876,1507.5862875999883,6.00918379999348,None,1544.7051868999843,1544.7202132999955,1544.7202132999955,1576.9546883000003,space,32.21872720000101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,0,0,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['l'],1,[3.0724451999994926],[None],5,4.080529700004263,,,,,0,0,0,13,1577.0183547999768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.0102762999886,1577.0183547999768,1577.0183547999768,1577.0183547999768,1577.0183547999768,1577.0183547999768,1577.0183547999768,1580.1058418999892,['l'],1,[3.0724451999994926],[None],1580.107078799978,1580.1340918999922,1580.1340918999922,1580.1340918999922,1584.2029635999934,5,4.080529700004263,5,4.080529700004263,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,1,1,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['l'],1,[3.8474099000159185],[None],5,1.2959743999817874,,,,,0,1,1,27,1584.2517684999912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584.2305742999888,1584.2517684999912,1584.2517684999912,1584.2517684999912,1584.2517684999912,1584.2517684999912,1584.2517684999912,1588.1066747999866,['l'],1,[3.8474099000159185],[None],1588.108082199993,1588.1192431999953,1588.1192431999953,1588.1192431999953,1589.4198515999888,5,1.2959743999817874,5,1.2959743999817874,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,2,2,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['r'],0,[3.7567216999887023],[None],5,1.3161613999982364,,,,,0,2,2,12,1589.4701601999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.452541799983,1589.4701601999986,1589.4701601999986,1589.4701601999986,1589.4701601999986,1589.4701601999986,1589.4701601999986,1593.2371144999925,['r'],0,[3.7567216999887023],[None],1593.2376959999965,1593.2531104999944,1593.2531104999944,1593.2531104999944,1594.5700607999752,5,1.3161613999982364,5,1.3161613999982364,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,3,3,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['r'],1,[5.483393300004536],[None],5,1.298297100001946,,,,,0,3,3,5,1594.6395010999986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.6218181999866,1594.6395010999986,1594.6395010999986,1594.6395010999986,1594.6395010999986,1594.6395010999986,1594.6395010999986,1600.1375904000015,['r'],1,[5.483393300004536],[None],1600.1385916,1600.1533043999807,1600.1533043999807,1600.1533043999807,1601.4542636999977,5,1.298297100001946,5,1.298297100001946,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,4,4,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['r'],1,[4.945482400013134],[None],3,1.7638699999952223,,,,,0,4,4,35,1601.4893306999875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.4685527999827,1601.4893306999875,1601.4893306999875,1601.4893306999875,1601.4893306999875,1601.4893306999875,1601.4893306999875,1606.438882699993,['r'],1,[4.945482400013134],[None],1606.44002129999,1606.4525818999973,1606.4525818999973,1606.4525818999973,1608.2198828999826,3,1.7638699999952223,3,1.7638699999952223,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
,,,5,5,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['r'],1,[2.9967687999887858],[None],5,1.1306694000086281,,,,,0,5,5,39,1608.2381795999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.2272524999862,1608.2381795999827,1608.2381795999827,1608.2381795999827,1608.2381795999827,1608.2381795999827,1608.2381795999827,1611.2388269999938,['r'],1,[2.9967687999887858],[None],1611.2398810999875,1611.2526276999852,1611.2526276999852,1611.2526276999852,1612.3866267999983,5,1.1306694000086281,5,1.1306694000086281,,,,,,,,subh170_NB,001,2026-02-03_22h39.39.071,recognitionstage,,2025.1.1,60.3427103927639,2026-02-03 22h40.23.527404 +0530,
