path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.009924800018779933,0.012387399998260662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012409000017214566,0.028570800001034513,0.028570800001034513,21.898218500020448,space,21.859992199984845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.89828480000142,21.913316499994835,21.913316499994835,28.046896999992896,space,6.127093699993566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
Trimmed_videos/natural_22.mp4,34,0,44,44,0,,,,,,,,,,0,44,44,24,,,,,1511.7442414000107,,,,,,,,,,,,,,,,,,,,,,,,1511.6989455000148,1511.7442414000107,1511.7442414000107,1546.3428131999972,1546.2003614999994,None,0,1,1546.3348816999933,1546.3428131999972,1548.8314432000043,1548.8453475999995,1.626837699994212,None,1548.8315978000173,1548.8453475999995,1548.8453475999995,1580.8304523999977,space,31.978621199988993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,0,0,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['l'],1,[3.7398217000009026],[None],5,6.1144987999869045,,,,,0,0,0,19,1580.8597135000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.8458561000007,1580.8597135000164,1580.8597135000164,1580.8597135000164,1580.8597135000164,1580.8597135000164,1580.8597135000164,1584.6133703000087,['l'],1,[3.7398217000009026],[None],1584.6143825000036,1584.642308200011,1584.642308200011,1584.642308200011,1590.7449904000096,5,6.1144987999869045,5,6.1144987999869045,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,1,1,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['r'],1,[8.054923499992583],[None],5,2.131514499982586,,,,,0,1,1,20,1590.776614100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.7614582999959,1590.776614100003,1590.776614100003,1590.776614100003,1590.776614100003,1590.776614100003,1590.776614100003,1598.84611090002,['r'],1,[8.054923499992583],[None],1598.8470672999974,1598.8612645000103,1598.8612645000103,1598.8612645000103,1600.9953201000171,5,2.131514499982586,5,2.131514499982586,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,2,2,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[4.811958199978108],[None],4,4.480424599983962,,,,,0,2,2,17,1601.027730700007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.0086524999933,1601.027730700007,1601.027730700007,1601.027730700007,1601.027730700007,1601.027730700007,1601.027730700007,1605.8468794999935,['l'],1,[4.811958199978108],[None],1605.8479146000172,1605.8608819000074,1605.8608819000074,1605.8608819000074,1610.3460215000086,4,4.480424599983962,4,4.480424599983962,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,3,3,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['l'],1,[3.739716599986423],[None],4,1.8976362999819685,,,,,0,3,3,9,1610.411840500019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.3917431000154,1610.411840500019,1610.411840500019,1610.411840500019,1610.411840500019,1610.411840500019,1610.411840500019,1614.1638598999998,['l'],1,[3.739716599986423],[None],1614.1649627000152,1614.1780853999953,1614.1780853999953,1614.1780853999953,1616.0785545000108,4,1.8976362999819685,4,1.8976362999819685,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,4,4,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['r'],1,[3.746091899985913],[None],5,2.165402599988738,,,,,0,4,4,21,1616.1096346999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1616.1051427000202,1616.1096346999984,1616.1096346999984,1616.1096346999984,1616.1096346999984,1616.1096346999984,1616.1096346999984,1619.8633169000095,['r'],1,[3.746091899985913],[None],1619.8641676999978,1619.8776328999957,1619.8776328999957,1619.8776328999957,1622.0453097000136,5,2.165402599988738,5,2.165402599988738,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
,,,5,5,0,16,frames\Vid16_EM_T.png,frames\Vid16_L.png,['l'],1,[10.496422100026393],[None],3,2.0816048000124283,,,,,0,5,5,15,1622.0951596999948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.08452460001,1622.0951596999948,1622.0951596999948,1622.0951596999948,1622.0951596999948,1622.0951596999948,1622.0951596999948,1632.5965473999968,['l'],1,[10.496422100026393],[None],1632.5976293999993,1632.6114506000013,1632.6114506000013,1632.6114506000013,1634.694994199992,3,2.0816048000124283,3,2.0816048000124283,,,,,,hello001,001,2026-02-04_12h12.17.378,recognitionstage,,2025.1.1,59.90186876102675,2026-02-04 12h12.43.841781 +0530,
