path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,text_6.stopped,key_resp_4.stopped,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.013709999999264255,0.016276599984848872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016299399983836338,0.032684799982234836,0.032684799982234836,6.935135599982459,space,6.897128299984615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.935192200005986,6.950593499990646,6.950593499990646,13.65167819999624,space,6.699047000001883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
Trimmed_videos/natural_19.mp4,37,44,44,0,,,,,,,,,,0,44,44,21,,,,,1485.850709099992,,,,,,,,,,,,,,,,,,,,,,,,1485.7993458999845,1485.850709099992,1485.850709099992,1523.1169357000035,1523.1169357000035,1522.9665532000072,None,1523.1020761999825,1523.1169357000035,1525.6042916000006,1485.850709099992,2.1992582000093535,None,1525.604417800001,1525.618943599984,1525.618943599984,1549.7032226999872,space,24.08100679999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,0,0,0,30,frames\Vid30_EM_T.png,frames\Vid30_L.png,['r'],1,[9.871299599995837],[None],5,6.497405600006459,,,,,0,0,0,29,1549.7332022000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549.7203530999832,1549.7332022000046,1549.7332022000046,1549.7332022000046,1549.7332022000046,1549.7332022000046,1549.7332022000046,1559.6206971000065,['r'],1,[9.871299599995837],[None],1559.6216717000061,1559.6495692000026,1559.6495692000026,1559.6495692000026,1566.1362009999866,5,6.497405600006459,5,6.497405600006459,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,1,1,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['r'],1,[9.325078800000483],[None],3,2.29829969999264,,,,,0,1,1,28,1566.1670575999888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1566.151039199991,1566.1670575999888,1566.1670575999888,1566.1670575999888,1566.1670575999888,1566.1670575999888,1566.1670575999888,1575.5031364999886,['r'],1,[9.325078800000483],[None],1575.5039522000006,1575.518400800007,1575.518400800007,1575.518400800007,1577.818918600009,3,2.29829969999264,3,2.29829969999264,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,2,2,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['l'],1,[10.023466899991035],[None],4,1.7155786999792326,,,,,0,2,2,37,1577.8365105999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.8287178000028,1577.8365105999983,1577.8365105999983,1577.8365105999983,1577.8365105999983,1577.8365105999983,1577.8365105999983,1587.8694516000105,['l'],1,[10.023466899991035],[None],1587.87034210001,1587.8847505000012,1587.8847505000012,1587.8847505000012,1589.6020330000028,4,1.7155786999792326,4,1.7155786999792326,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,3,3,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['r'],1,[10.45599780001794],[None],5,2.4141983999870718,,,,,0,3,3,39,1589.6199679999845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.6119703000004,1589.6199679999845,1589.6199679999845,1589.6199679999845,1589.6199679999845,1589.6199679999845,1589.6199679999845,1600.0868606999866,['r'],1,[10.45599780001794],[None],1600.087814300001,1600.1011815000093,1600.1011815000093,1600.1011815000093,1602.5191796,5,2.4141983999870718,5,2.4141983999870718,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,4,4,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['l'],1,[5.125016800011508],[None],5,1.215740099985851,,,,,0,4,4,21,1602.5509533000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.5323472000018,1602.5509533000004,1602.5509533000004,1602.5509533000004,1602.5509533000004,1602.5509533000004,1602.5509533000004,1607.6862441999838,['l'],1,[5.125016800011508],[None],1607.687145600008,1607.7016040000017,1607.7016040000017,1607.7016040000017,1608.918589399982,5,1.215740099985851,5,1.215740099985851,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
,,5,5,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['r'],1,[3.8446072000078857],[None],5,1.0149930999905337,,,,,0,5,5,31,1608.9514072999882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.9296142999956,1608.9514072999882,1608.9514072999882,1608.9514072999882,1608.9514072999882,1608.9514072999882,1608.9514072999882,1612.8034894999873,['r'],1,[3.8446072000078857],[None],1612.804297499999,1612.817861299991,1612.817861299991,1612.817861299991,1613.8356284000038,5,1.0149930999905337,5,1.0149930999905337,,,,,,,,sub17_NB,001,2026-01-18_10h47.37.200,recognitionstage,,2025.1.1,60.099151586655275,2026-01-18 10h49.12.178414 +0530,
