path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01908740005455911,0.08426080003846437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08428930002264678,0.1025120000122115,0.1025120000122115,7.623777900007553,space,7.51893579994794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.623854200006463,7.6383804000215605,7.6383804000215605,15.138661800068803,space,7.495013799984008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
Trimmed_videos/natural_1.mp4,19,0,44,44,0,,,,,,,,,,0,44,44,0,,,,,1514.9533494000789,,,,,,,,,,,,,,,,,,,,,,,,1514.907117200084,1514.9533494000789,1514.9533494000789,1534.1521661999868,1534.0105792999966,None,0,1,1534.1470457999967,1534.1521661999868,1536.6390645999927,1536.6544690000592,1.0790588000090793,None,1536.6391456000274,1536.6544690000592,1536.6544690000592,1552.4549629000248,space,15.798451900016516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,0,0,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[2.4449601999949664],[None],5,4.948048799997196,,,,,0,0,0,3,1552.5359628000297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1552.5243203000864,1552.5359628000297,1552.5359628000297,1552.5359628000297,1552.5359628000297,1552.5359628000297,1552.5359628000297,1554.9895036000526,['r'],0,[2.4449601999949664],[None],1554.9905224000104,1555.0183730000863,1555.0183730000863,1555.0183730000863,1559.9537752000615,5,4.948048799997196,5,4.948048799997196,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,1,1,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],0,[2.3850150000071153],[None],3,1.5312219000188634,,,,,0,1,1,12,1560.0357362000505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.0216310999822,1560.0357362000505,1560.0357362000505,1560.0357362000505,1560.0357362000505,1560.0357362000505,1560.0357362000505,1562.4226853,['l'],0,[2.3850150000071153],[None],1562.423978200066,1562.4367939999793,1562.4367939999793,1562.4367939999793,1563.9706774000078,3,1.5312219000188634,3,1.5312219000188634,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,2,2,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[2.902593299979344],[None],4,1.9806828000582755,,,,,0,2,2,18,1564.0061204000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563.9964359999867,1564.0061204000376,1564.0061204000376,1564.0061204000376,1564.0061204000376,1564.0061204000376,1564.0061204000376,1566.9225986000383,['l'],1,[2.902593299979344],[None],1566.9236402000533,1566.936725000036,1566.936725000036,1566.936725000036,1568.920928800013,4,1.9806828000582755,4,1.9806828000582755,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,3,3,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['r'],1,[5.786700600059703],[None],2,1.965289399959147,,,,,0,3,3,35,1568.9540221000789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568.9473300999962,1568.9540221000789,1568.9540221000789,1568.9540221000789,1568.9540221000789,1568.9540221000789,1568.9540221000789,1574.7549824999878,['r'],1,[5.786700600059703],[None],1574.7557711000554,1574.7704511000775,1574.7704511000775,1574.7704511000775,1576.7377795000793,2,1.965289399959147,2,1.965289399959147,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,4,4,0,11,frames\Vid11_EM_T.png,frames\Vid11_L.png,['l'],0,[4.544504499994218],[None],3,2.046857300098054,,,,,0,4,4,10,1576.804293400026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576.793501200038,1576.804293400026,1576.804293400026,1576.804293400026,1576.804293400026,1576.804293400026,1576.804293400026,1581.3563345000148,['l'],0,[4.544504499994218],[None],1581.3572835000232,1581.3701216999907,1581.3701216999907,1581.3701216999907,1583.421367599978,3,2.046857300098054,3,2.046857300098054,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
,,,5,5,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['l'],1,[3.611177199985832],[None],5,0.9461521999910474,,,,,0,5,5,2,1583.4897476000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.474610400037,1583.4897476000478,1583.4897476000478,1583.4897476000478,1583.4897476000478,1583.4897476000478,1583.4897476000478,1587.1072199000046,['l'],1,[3.611177199985832],[None],1587.1084561999887,1587.134991500061,1587.134991500061,1587.134991500061,1588.0711147000547,5,0.9461521999910474,5,0.9461521999910474,,,,,,,,sub182_NB,001,2026-02-10_14h53.03.881,recognitionstage,,2025.1.1,60.17582173773372,2026-02-10 14h53.36.182958 +0530,
