path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,movie_2.stopped,key_resp_6.stopped,Videos.stopped,movie.key_resp_6.keys,ISI.started,text.started,ISI.stopped,text.stopped,movie.key_resp_6.rt,movie.key_resp_6.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.010708100016927347,0.013234999991254881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01325580000411719,0.029517699993448332,0.029517699993448332,11.647107400000095,space,11.601681200001622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.64715599999181,11.664589099993464,11.664589099993464,19.547829499992076,space,7.878835199982859,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
Trimmed_videos/natural_14.mp4,25,44,44,0,,,,,,,,,,0,44,44,15,,,,,1513.0811951000069,,,,,,,,,,,,,,,,,,,,,,,,1513.02947400001,1513.0811951000069,1513.0811951000069,1538.3476780999918,1538.3476780999918,1538.1949364000175,None,1538.3302953999955,1538.3476780999918,1540.8342258000048,1513.0811951000069,14.610082700004568,None,1540.8343412000104,1540.8497541999968,1540.8497541999968,1564.3507944000012,space,23.496328100009123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,0,0,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[10.96554279999691],[None],2,7.431899899995187,,,,,0,0,0,18,1564.3800948999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1564.3715032000036,1564.3800948999997,1564.3800948999997,1564.3800948999997,1564.3800948999997,1564.3800948999997,1564.3800948999997,1575.34983620001,['l'],1,[10.96554279999691],[None],1575.3506984999985,1575.3650261000148,1575.3650261000148,1575.3650261000148,1582.7996092000103,2,7.431899899995187,2,7.431899899995187,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,1,1,0,30,frames\Vid30_EM_T.png,frames\Vid30_L.png,['l'],1,[6.827285900013521],[None],4,4.314299199992092,,,,,0,1,1,29,1582.830461800011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.8157000000065,1582.830461800011,1582.830461800011,1582.830461800011,1582.830461800011,1582.830461800011,1582.830461800011,1589.6673958000029,['l'],1,[6.827285900013521],[None],1589.6684868000157,1589.6818029000133,1589.6818029000133,1589.6818029000133,1593.998699399992,4,4.314299199992092,4,4.314299199992092,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,2,2,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['l'],0,[4.83246780000627],[None],3,1.5477914999937639,,,,,0,2,2,38,1594.0170574999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.0077562000079,1594.0170574999938,1594.0170574999938,1594.0170574999938,1594.0170574999938,1594.0170574999938,1594.0170574999938,1598.850448800018,['l'],0,[4.83246780000627],[None],1598.8512854000146,1598.8647597999952,1598.8647597999952,1598.8647597999952,1600.4166885000013,3,1.5477914999937639,3,1.5477914999937639,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,3,3,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['l'],1,[4.5522982999973465],[None],3,1.2331009000190534,,,,,0,3,3,19,1600.4332811000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.4248987000028,1600.4332811000058,1600.4332811000058,1600.4332811000058,1600.4332811000058,1600.4332811000058,1600.4332811000058,1604.999349699996,['l'],1,[4.5522982999973465],[None],1605.0001419000037,1605.0150820999988,1605.0150820999988,1605.0150820999988,1606.2495053000166,3,1.2331009000190534,3,1.2331009000190534,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,4,4,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],1,[3.5191295000258833],[None],5,1.3640822999877855,,,,,0,4,4,7,1606.298589700018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606.2907245999959,1606.298589700018,1606.298589700018,1606.298589700018,1606.298589700018,1606.298589700018,1606.298589700018,1609.8340352000087,['r'],1,[3.5191295000258833],[None],1609.8353381000052,1609.8488961000112,1609.8488961000112,1609.8488961000112,1611.2163619000057,5,1.3640822999877855,5,1.3640822999877855,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,5,5,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['r'],1,[4.7304638999921735],[None],4,1.499207100016065,,,,,0,5,5,20,1611.2472070000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611.2412144000118,1611.2472070000076,1611.2472070000076,1611.2472070000076,1611.2472070000076,1611.2472070000076,1611.2472070000076,1615.9832705000008,['r'],1,[4.7304638999921735],[None],1615.9839678000135,1615.9989341000037,1615.9989341000037,1615.9989341000037,1617.4995591000188,4,1.499207100016065,4,1.499207100016065,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,6,6,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[3.772479499981273],[None],5,1.0472015999839641,,,,,0,6,6,11,1617.5491070999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.5420030000096,1617.5491070999997,1617.5491070999997,1617.5491070999997,1617.5491070999997,1617.5491070999997,1617.5491070999997,1621.3343873000122,['r'],1,[3.772479499981273],[None],1621.3353485999978,1621.3484078000183,1621.3484078000183,1621.3484078000183,1622.3997425000125,5,1.0472015999839641,5,1.0472015999839641,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,7,7,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['r'],1,[3.261946499987971],[None],5,1.1812910999869928,,,,,0,7,7,9,1622.4518351000152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1622.4426152000087,1622.4518351000152,1622.4518351000152,1622.4518351000152,1622.4518351000152,1622.4518351000152,1622.4518351000152,1625.717721299996,['r'],1,[3.261946499987971],[None],1625.7187575999997,1625.7320088999986,1625.7320088999986,1625.7320088999986,1626.9156236000126,5,1.1812910999869928,5,1.1812910999869928,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,8,8,0,36,frames\Vid36_BB_T.png,frames\Vid36_L.png,['r'],0,[10.162235999974655],[None],1,1.3473869000154082,,,,,0,8,8,35,1626.9518133999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.927799600002,1626.9518133999954,1626.9518133999954,1626.9518133999954,1626.9518133999954,1626.9518133999954,1626.9518133999954,1637.118161899998,['r'],0,[10.162235999974655],[None],1637.1196715999977,1637.1320386000152,1637.1320386000152,1637.1320386000152,1638.4826528000121,1,1.3473869000154082,1,1.3473869000154082,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,9,9,0,11,frames\Vid11_EM_T.png,frames\Vid11_L.png,['l'],1,[2.469358000002103],[None],1,1.2474097000085749,,,,,0,9,9,10,1638.532184700016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638.525850200007,1638.532184700016,1638.532184700016,1638.532184700016,1638.532184700016,1638.532184700016,1638.532184700016,1641.0175375000108,['l'],1,[2.469358000002103],[None],1641.0184749000182,1641.031518600008,1641.031518600008,1641.031518600008,1642.2830486000166,1,1.2474097000085749,1,1.2474097000085749,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,10,10,0,14,frames\Vid14_BB_T.png,frames\Vid14_L.png,['r'],1,[3.378671599988593],[None],4,1.2959660000051372,,,,,0,10,10,13,1642.351206499996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.3280174999963,1642.351206499996,1642.351206499996,1642.351206499996,1642.351206499996,1642.351206499996,1642.351206499996,1645.7360678999976,['r'],1,[3.378671599988593],[None],1645.7374232000147,1645.763457699999,1645.763457699999,1645.763457699999,1647.0497913,4,1.2959660000051372,4,1.2959660000051372,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,11,11,0,18,frames\Vid18_EM_T.png,frames\Vid18_L.png,['l'],1,[3.0531693999946583],[None],5,1.331894500006456,,,,,0,11,11,17,1647.0845049000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1647.0612786000129,1647.0845049000054,1647.0845049000054,1647.0845049000054,1647.0845049000054,1647.0845049000054,1647.0845049000054,1650.1497076000087,['l'],1,[3.0531693999946583],[None],1650.1504484000034,1650.1652373000106,1650.1652373000106,1650.1652373000106,1651.4989075000049,5,1.331894500006456,5,1.331894500006456,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,12,12,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[3.6203750999993645],[None],5,1.2974424999847542,,,,,0,12,12,5,1651.5492981999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1651.5404684999958,1651.5492981999996,1651.5492981999996,1651.5492981999996,1651.5492981999996,1651.5492981999996,1651.5492981999996,1655.1839074000018,['l'],1,[3.6203750999993645],[None],1655.1849454000185,1655.1985730000015,1655.1985730000015,1655.1985730000015,1656.499717700004,5,1.2974424999847542,5,1.2974424999847542,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,13,13,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['l'],1,[2.937801500025671],[None],5,2.81450209999457,,,,,0,13,13,2,1656.5520405000134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.539435899991,1656.5520405000134,1656.5520405000134,1656.5520405000134,1656.5520405000134,1656.5520405000134,1656.5520405000134,1659.5003447000054,['l'],1,[2.937801500025671],[None],1659.501353700005,1659.5147995000007,1659.5147995000007,1659.5147995000007,1662.3330485000042,5,2.81450209999457,5,2.81450209999457,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,14,14,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['r'],1,[3.658204100007424],[None],5,0.9654878000146709,,,,,0,14,14,31,1662.3674197999935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.345325000002,1662.3674197999935,1662.3674197999935,1662.3674197999935,1662.3674197999935,1662.3674197999935,1662.3674197999935,1666.0329940000083,['r'],1,[3.658204100007424],[None],1666.03371660001,1666.0485613000055,1666.0485613000055,1666.0485613000055,1667.0163425999926,5,0.9654878000146709,5,0.9654878000146709,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,15,15,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['r'],1,[2.705475300026592],[None],5,0.9639012000116054,,,,,0,15,15,36,1667.0482040999923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1667.0307108999987,1667.0482040999923,1667.0482040999923,1667.0482040999923,1667.0482040999923,1667.0482040999923,1667.0482040999923,1669.767873100005,['r'],1,[2.705475300026592],[None],1669.769026199996,1669.7814978999959,1669.7814978999959,1669.7814978999959,1670.7495142999978,5,0.9639012000116054,5,0.9639012000116054,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,16,16,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['l'],1,[7.412119800021173],[None],5,0.8301471000013407,,,,,0,16,16,24,1670.7817534999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.762076700019,1670.7817534999922,1670.7817534999922,1670.7817534999922,1670.7817534999922,1670.7817534999922,1670.7817534999922,1678.2015147999919,['l'],1,[7.412119800021173],[None],1678.2029186,1678.2299920000078,1678.2299920000078,1678.2299920000078,1679.0499283999961,5,0.8301471000013407,5,0.8301471000013407,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,17,17,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['r'],1,[4.096203599998262],[None],4,0.8323499000107404,,,,,0,17,17,37,1679.081543200009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1679.060794399993,1679.081543200009,1679.081543200009,1679.081543200009,1679.081543200009,1679.081543200009,1679.081543200009,1683.1831065000151,['r'],1,[4.096203599998262],[None],1683.1837086000014,1683.1987650000083,1683.1987650000083,1683.1987650000083,1684.0330206000071,4,0.8323499000107404,4,0.8323499000107404,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,18,18,0,16,frames\Vid16_EM_T.png,frames\Vid16_L.png,['r'],1,[7.991670100018382],[None],1,2.5818392999935895,,,,,0,18,18,15,1684.0822401999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.0730925000098,1684.0822401999903,1684.0822401999903,1684.0822401999903,1684.0822401999903,1684.0822401999903,1684.0822401999903,1692.0837631000031,['r'],1,[7.991670100018382],[None],1692.0850183000148,1692.0985239000001,1692.0985239000001,1692.0985239000001,1694.6826479000156,1,2.5818392999935895,1,2.5818392999935895,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
,,19,19,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],1,[3.7061956000106875],[None],5,1.0478665999835357,,,,,0,19,19,3,1694.751618600014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.7297708000115,1694.751618600014,1694.751618600014,1694.751618600014,1694.751618600014,1694.751618600014,1694.751618600014,1698.4674956999952,['r'],1,[3.7061956000106875],[None],1698.468276700005,1698.4815850000014,1698.4815850000014,1698.4815850000014,1699.5329520000087,5,1.0478665999835357,5,1.0478665999835357,,,,,,,,sub18_NB,001,2026-01-18_11h23.03.125,recognitionstage,,2025.1.1,59.93669485881572,2026-01-18 11h24.18.365016 +0530,
