path,duration,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,key_resp_6.started,Videos.stopped,movie.key_resp_6.keys,movie.key_resp_6.rt,movie.key_resp_6.duration,ISI.started,text.started,ISI.stopped,movie_2.stopped,key_resp_6.stopped,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.018943099999887636,0.021432999999888125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021454900000208,0.03803599999992002,0.03803599999992002,7.755930799999987,space,7.701014400000531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.755956700000752,7.772127100000034,7.772127100000034,17.807912600000236,space,10.022976299999755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
Trimmed_videos/natural_7.mp4,26,44,44,0,,,,,,,,,,0,44,44,7,,,,,1513.0378012,,,,,,,,,,,,,,,,,,,,,,,,1512.979816,1513.0378012,1513.0378012,1527.1564861000006,space,14.117241900000408,None,1527.2793019,1527.2869459000003,1529.7745485000005,1509.8703624,1509.8703624,1529.7891570000002,1529.7746459999998,1529.7891570000002,1529.7891570000002,1569.9240672000005,space,40.13405210000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,0,0,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['l'],1,[5.282363499999519],[None],5,5.21254829999998,,,,,0,0,0,27,1569.9529923999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1569.9445542000003,1569.9529923999999,1569.9529923999999,1569.9529923999999,1569.9529923999999,1569.9529923999999,1569.9529923999999,1575.2418790000002,['l'],1,[5.282363499999519],[None],1575.2432887000004,1575.2692737000007,1575.2692737000007,1575.2692737000007,1580.4717326999998,5,5.21254829999998,5,5.21254829999998,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,1,1,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['l'],0,[12.63505720000012],[None],3,2.4157233999994787,,,,,0,1,1,4,1580.5200788000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580.5059408000006,1580.5200788000002,1580.5200788000002,1580.5200788000002,1580.5200788000002,1580.5200788000002,1580.5200788000002,1593.1562119,['l'],0,[12.63505720000012],[None],1593.1571728,1593.1720872000005,1593.1720872000005,1593.1720872000005,1595.5887303,3,2.4157233999994787,3,2.4157233999994787,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,2,2,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['r'],1,[3.621513500000219],[None],5,2.5817557999998826,,,,,0,2,2,1,1595.6535483000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.6392022999999,1595.6535483000007,1595.6535483000007,1595.6535483000007,1595.6535483000007,1595.6535483000007,1595.6535483000007,1599.2898175,['r'],1,[3.621513500000219],[None],1599.2908508,1599.3047717,1599.3047717,1599.3047717,1601.8884336,5,2.5817557999998826,5,2.5817557999998826,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,3,3,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['l'],1,[3.9574635999997554],[None],5,1.8981141000003845,,,,,0,3,3,30,1601.9097105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.8960453,1601.9097105,1601.9097105,1601.9097105,1601.9097105,1601.9097105,1601.9097105,1605.8737918000006,['l'],1,[3.9574635999997554],[None],1605.8747676000003,1605.8876031,1605.8876031,1605.8876031,1607.7881414000003,5,1.8981141000003845,5,1.8981141000003845,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,4,4,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['l'],1,[8.90862130000005],[None],5,1.5809939000000668,,,,,0,4,4,3,1607.8384340000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1607.8317586000003,1607.8384340000002,1607.8384340000002,1607.8384340000002,1607.8384340000002,1607.8384340000002,1607.8384340000002,1616.7565531999999,['l'],1,[8.90862130000005],[None],1616.7574603000003,1616.7708493999999,1616.7708493999999,1616.7708493999999,1618.3555272000003,5,1.5809939000000668,5,1.5809939000000668,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
,,5,5,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['r'],1,[3.611562199999753],[None],5,1.4795956999996633,,,,,0,5,5,12,1618.4077924000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.3889835999998,1618.4077924000003,1618.4077924000003,1618.4077924000003,1618.4077924000003,1618.4077924000003,1618.4077924000003,1622.0245346000002,['r'],1,[3.611562199999753],[None],1622.0256620999999,1622.0376004,1622.0376004,1622.0376004,1623.5225117,5,1.4795956999996633,5,1.4795956999996633,,,,,,,,sub22_NB,001,2026-01-18_14h43.05.088,recognitionstage,,2025.1.1,59.352429383964015,2026-01-18 14h44.46.950339 +0530,
