path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,text_6.stopped,key_resp_4.stopped,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01939559995662421,0.08156779990531504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08160009991843253,0.10311139991972595,0.10311139991972595,25.458500999957323,space,25.35400070005562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.458557899924926,25.47237909992691,25.47237909992691,37.323864199919626,space,11.848621599958278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
Trimmed_videos/natural_13.mp4,31,0,44,44,0,,,,,,,,,,0,44,44,14,,,,,1541.4381765999133,,,,,,,,,,,,,,,,,,,,,,,,1541.3794566999422,1541.4381765999133,1541.4381765999133,1573.4710522999521,1573.316330499947,None,0,1,1573.4523071999429,1573.4710522999521,1535.854840099928,1575.9566237999825,2.2344068000093102,None,1575.9566892998992,1575.9725432998966,1575.9725432998966,1644.3388779999223,space,68.36478379997425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,0,0,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['r'],1,[7.678332099923864],[None],4,5.382471900084056,,,,,0,0,0,23,1644.3869212999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.3743998999707,1644.3869212999707,1644.3869212999707,1644.3869212999707,1644.3869212999707,1644.3869212999707,1644.3869212999707,1652.0728404999245,['r'],1,[7.678332099923864],[None],1652.0733992999885,1652.0882176999003,1652.0882176999003,1652.0882176999003,1657.4728481000056,4,5.382471900084056,4,5.382471900084056,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,1,1,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['l'],1,[5.200842300080694],[None],5,3.3152421000413597,,,,,0,1,1,36,1657.5203328999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.5057751999702,1657.5203328999924,1657.5203328999924,1657.5203328999924,1657.5203328999924,1657.5203328999924,1657.5203328999924,1662.7235488999868,['l'],1,[5.200842300080694],[None],1662.7244490999728,1662.738566499902,1662.738566499902,1662.738566499902,1666.0555224999553,5,3.3152421000413597,5,3.3152421000413597,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,2,2,0,28,frames\Vid28_EM_T.png,frames\Vid28_L.png,['r'],1,[4.369001999963075],[None],5,1.4473597999894992,,,,,0,2,2,27,1666.0882255999604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.0800929999677,1666.0882255999604,1666.0882255999604,1666.0882255999604,1666.0882255999604,1666.0882255999604,1666.0882255999604,1670.4736994999694,['r'],1,[4.369001999963075],[None],1670.475183499977,1670.4884257999947,1670.4884257999947,1670.4884257999947,1671.939685999998,5,1.4473597999894992,5,1.4473597999894992,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,3,3,0,20,frames\Vid20_EM_T.png,frames\Vid20_L.png,['r'],1,[4.373493599938229],[None],5,1.3648940999992192,,,,,0,3,3,19,1671.9717370999279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1671.9605140999192,1671.9717370999279,1671.9717370999279,1671.9717370999279,1671.9717370999279,1671.9717370999279,1671.9717370999279,1676.3570853999117,['r'],1,[4.373493599938229],[None],1676.357980699977,1676.3714393998962,1676.3714393998962,1676.3714393998962,1677.7390280999243,5,1.3648940999992192,5,1.3648940999992192,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,4,4,0,13,frames\Vid13_BB_T.png,frames\Vid13_L.png,['l'],0,[10.747775300056674],[None],1,4.279972500051372,,,,,0,4,4,12,1677.8054962999886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677.787064199918,1677.8054962999886,1677.8054962999886,1677.8054962999886,1677.8054962999886,1677.8054962999886,1677.8054962999886,1688.5579328999156,['l'],0,[10.747775300056674],[None],1688.5589649999747,1688.5715244999155,1688.5715244999155,1688.5715244999155,1692.855945599964,1,4.279972500051372,1,4.279972500051372,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
,,,5,5,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['l'],1,[5.4799525999696925],[None],3,2.2643725000089034,,,,,0,5,5,14,1692.9374120999128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1692.9299855999416,1692.9374120999128,1692.9374120999128,1692.9374120999128,1692.9374120999128,1692.9374120999128,1692.9374120999128,1698.4244888999965,['l'],1,[5.4799525999696925],[None],1698.4257649999345,1698.438168899971,1698.438168899971,1698.438168899971,1700.7056226999266,3,2.2643725000089034,3,2.2643725000089034,,,,,,,,sub49_NB,001,2026-01-26_11h34.19.625,recognitionstage,,2025.1.1,59.89921359676144,2026-01-26 11h35.15.104201 +0530,
