path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.020627299905754626,0.02516949991695583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025191199965775013,0.0396619999082759,0.0396619999082759,10.625440599978901,space,10.584407599992119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.625507999910042,10.640925499959849,10.640925499959849,20.79102099989541,space,10.143112999969162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
Trimmed_videos/natural_16.mp4,35,0,44,44,0,,,,,,,,,,0,44,44,17,,,,,1505.4389846998965,,,,,,,,,,,,,,,,,,,,,,,,1505.3933344999095,1505.4389846998965,1505.4389846998965,1540.8712729999097,1540.7273342999397,None,0,1,1540.8634713999927,1540.8712729999097,1543.3730665999465,1543.3580361999338,1.7009606999345124,None,1543.3581006999593,1543.3730665999465,1543.3730665999465,1574.0073178999592,space,30.626982099958695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,0,0,0,35,frames\Vid35_EM_T.png,frames\Vid35_L.png,['r'],1,[7.250057900091633],[None],5,7.229668000014499,,,,,0,0,0,34,1574.0379879999673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.023846099968,1574.0379879999673,1574.0379879999673,1574.0379879999673,1574.0379879999673,1574.0379879999673,1574.0379879999673,1581.2923951999983,['r'],1,[7.250057900091633],[None],1581.2936757999705,1581.3207659999607,1581.3207659999607,1581.3207659999607,1588.5406977999955,5,7.229668000014499,5,7.229668000014499,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,1,1,0,27,frames\Vid27_BB_T.png,frames\Vid27_L.png,['r'],1,[3.1646264999872074],[None],5,1.6814008000073954,,,,,0,1,1,26,1588.5714846999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.553884099936,1588.5714846999617,1588.5714846999617,1588.5714846999617,1588.5714846999617,1588.5714846999617,1588.5714846999617,1591.7414566999068,['r'],1,[3.1646264999872074],[None],1591.7425593999214,1591.756284700008,1591.756284700008,1591.756284700008,1593.4406422999455,5,1.6814008000073954,5,1.6814008000073954,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,2,2,0,26,frames\Vid26_EM_T.png,frames\Vid26_L.png,['r'],1,[5.287748500006273],[None],5,2.2146803999785334,,,,,0,2,2,25,1593.4724857999245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.4546392000047,1593.4724857999245,1593.4724857999245,1593.4724857999245,1593.4724857999245,1593.4724857999245,1593.4724857999245,1598.7749550999142,['r'],1,[5.287748500006273],[None],1598.776071399916,1598.7895400999114,1598.7895400999114,1598.7895400999114,1601.0070159999887,5,2.2146803999785334,5,2.2146803999785334,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,3,3,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[7.590463100001216],[None],5,1.1649953000014648,,,,,0,3,3,11,1601.0736726999748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601.051965199993,1601.0736726999748,1601.0736726999748,1601.0736726999748,1601.0736726999748,1601.0736726999748,1601.0736726999748,1608.6741900999332,['r'],1,[7.590463100001216],[None],1608.675080499961,1608.6895525999134,1608.6895525999134,1608.6895525999134,1609.8573055999586,5,1.1649953000014648,5,1.1649953000014648,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,4,4,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['r'],1,[7.877643099986017],[None],4,2.180549999931827,,,,,0,4,4,9,1609.9386257999577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609.9172655999428,1609.9386257999577,1609.9386257999577,1609.9386257999577,1609.9386257999577,1609.9386257999577,1609.9386257999577,1617.8252973000053,['r'],1,[7.877643099986017],[None],1617.8264801999321,1617.8393234999385,1617.8393234999385,1617.8393234999385,1620.0235912000062,4,2.180549999931827,4,2.180549999931827,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
,,,5,5,0,25,frames\Vid25_BB_T.png,frames\Vid25_L.png,['r'],0,[13.659778299974278],[None],4,3.0818165000528097,,,,,0,5,5,24,1620.0442389999516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.0334397999104,1620.0442389999516,1620.0442389999516,1620.0442389999516,1620.0442389999516,1620.0442389999516,1620.0442389999516,1633.7081547999987,['r'],0,[13.659778299974278],[None],1633.7089712999295,1633.723389599938,1633.723389599938,1633.723389599938,1636.8065125999274,4,3.0818165000528097,4,3.0818165000528097,,,,,,,,sub52_NB,001,2026-01-26_16h01.01.670,recognitionstage,,2025.1.1,60.04581495615659,2026-01-26 16h03.04.781577 +0530,
