path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.011142499999550637,0.06793669999751728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0679660999958287,0.07802190000074916,0.07802190000074916,13.665191499996581,space,13.584975099998701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.665232799998194,13.680478599999333,13.680478599999333,26.181623199998285,space,12.494539999999688,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
Trimmed_videos/natural_37.mp4,39,1,44,44,0,,,,,,,,,,0,44,44,40,,,,,1544.913111599999,,,,,,,,,,,,,,,,,,,,,,,,1544.8662915999957,1544.913111599999,1544.913111599999,1541.646094799995,1547.0991049000004,space,1,1,1547.2001883999983,1547.2120925999989,1549.7145825999978,1549.6985793999993,2.1819264000005205,None,1549.698650899998,1549.7145825999978,1549.7145825999978,1591.8491835999957,space,42.132533899995906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,0,0,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],0,[15.048480699995707],[None],3,13.313997400000517,,,,,0,0,0,18,1591.8786974999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591.8690490000008,1591.8786974999966,1591.8786974999966,1591.8786974999966,1591.8786974999966,1591.8786974999966,1591.8786974999966,1606.9324332999968,['l'],0,[15.048480699995707],[None],1606.9337173999957,1606.9615844,1606.9615844,1606.9615844,1620.2635305000003,3,13.313997400000517,3,13.313997400000517,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,1,1,0,24,frames\Vid24_BB_T.png,frames\Vid24_L.png,['l'],1,[5.1595651999959955],[None],5,3.481772600003751,,,,,0,1,1,23,1620.2955136000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620.280600799997,1620.2955136000019,1620.2955136000019,1620.2955136000019,1620.2955136000019,1620.2955136000019,1620.2955136000019,1625.4650597,['l'],1,[5.1595651999959955],[None],1625.4659601999956,1625.480172800002,1625.480172800002,1625.480172800002,1628.963656,5,3.481772600003751,5,3.481772600003751,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,2,2,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['r'],1,[3.9686280000023544],[None],5,1.931413899998006,,,,,0,2,2,5,1629.0308915999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.012833599998,1629.0308915999994,1629.0308915999994,1629.0308915999994,1629.0308915999994,1629.0308915999994,1629.0308915999994,1633.0153902999955,['r'],1,[3.9686280000023544],[None],1633.0163247999953,1633.0298800000019,1633.0298800000019,1633.0298800000019,1634.963615200002,5,1.931413899998006,5,1.931413899998006,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,3,3,0,16,frames\Vid16_EM_T.png,frames\Vid16_L.png,['l'],1,[6.3140120999960345],[None],4,2.3646803999945405,,,,,0,3,3,15,1635.0291887999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635.0229583999972,1635.0291887999992,1635.0291887999992,1635.0291887999992,1635.0291887999992,1635.0291887999992,1635.0291887999992,1641.3492927999978,['l'],1,[6.3140120999960345],[None],1641.3501357999994,1641.3631490999978,1641.3631490999978,1641.3631490999978,1643.730406099996,4,2.3646803999945405,4,2.3646803999945405,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,4,4,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[2.887909999997646],[None],5,1.7479346999971312,,,,,0,4,4,2,1643.7832019999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643.7706361000019,1643.7832019999987,1643.7832019999987,1643.7832019999987,1643.7832019999987,1643.7832019999987,1643.7832019999987,1646.6822391999958,['r'],1,[2.887909999997646],[None],1646.683421099995,1646.6971654000008,1646.6971654000008,1646.6971654000008,1648.4471916999973,5,1.7479346999971312,5,1.7479346999971312,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
,,,5,5,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['l'],1,[5.53091200000199],[None],4,2.529067600000417,,,,,0,5,5,9,1648.5002860999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1648.4893632999956,1648.5002860999957,1648.5002860999957,1648.5002860999957,1648.5002860999957,1648.5002860999957,1648.5002860999957,1654.0334625999967,['l'],1,[5.53091200000199],[None],1654.0349557000009,1654.0468747999985,1654.0468747999985,1654.0468747999985,1656.5807413000002,4,2.529067600000417,4,2.529067600000417,,,,,,sub60_nb,001,2026-01-27_15h05.33.448,recognitionstage,,2025.1.1,59.59088473782529,2026-01-27 15h06.09.337836 +0530,
