path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,movie.vigilance_resp.rt,movie.vigilance_resp.duration,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01573449998977594,0.0795889999717474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079617799987318,0.09943989999010228,0.09943989999010228,9.38801099997363,space,9.283003599994117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.388063499995042,9.401703099982115,9.401703099982115,18.003210399998352,space,8.587955299997702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
Trimmed_videos/natural_18.mp4,24,1,44,44,0,,,,,,,,,,0,44,44,18,,,,,1554.4676188999729,,,,,,,,,,,,,,,,,,,,,,,,1554.4167468999804,1554.4676188999729,1554.4676188999729,1551.2841824999778,1555.9697325999732,space,1.49825969999074,None,1,1,1556.0840120999783,1556.1007694999862,1558.5887943999842,1554.4676188999729,1558.5889294999943,1558.6026331999747,1558.6026331999747,1583.9039331999957,space,25.29153960000258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,0,0,0,29,frames\Vid29_BB_T.png,frames\Vid29_L.png,['l'],0,[2.5280036999902222],[None],2,7.765094100002898,,,,,0,0,0,28,1583.9498345999746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583.941777799977,1583.9498345999746,1583.9498345999746,1583.9498345999746,1583.9498345999746,1583.9498345999746,1583.9498345999746,1586.4862104999775,['l'],0,[2.5280036999902222],[None],1586.4871903999883,1586.5016145999834,1586.5016145999834,1586.5016145999834,1594.2696588999825,2,7.765094100002898,2,7.765094100002898,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,1,1,0,19,frames\Vid19_BB_T.png,frames\Vid19_L.png,['l'],1,[6.5212288000038825],[None],3,4.96393289999105,,,,,0,1,1,18,1594.3169760999735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.2995558999828,1594.3169760999735,1594.3169760999735,1594.3169760999735,1594.3169760999735,1594.3169760999735,1594.3169760999735,1600.8538838999812,['l'],1,[6.5212288000038825],[None],1600.8552580999967,1600.8682284999813,1600.8682284999813,1600.8682284999813,1605.83590559999,3,4.96393289999105,3,4.96393289999105,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,2,2,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['r'],1,[4.825817000004463],[None],5,2.214831699995557,,,,,0,2,2,37,1605.8681197999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605.8617301999766,1605.8681197999977,1605.8681197999977,1605.8681197999977,1605.8681197999977,1605.8681197999977,1605.8681197999977,1610.7035803999752,['r'],1,[4.825817000004463],[None],1610.7045578999969,1610.7182038999745,1610.7182038999745,1610.7182038999745,1612.9348981999792,5,2.214831699995557,5,2.214831699995557,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,3,3,0,12,frames\Vid12_EM_T.png,frames\Vid12_L.png,['r'],1,[9.483890100003919],[None],5,4.265624599996954,,,,,0,3,3,11,1613.001996499981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.9932832999912,1613.001996499981,1613.001996499981,1613.001996499981,1613.001996499981,1613.001996499981,1613.001996499981,1622.486522799998,['r'],1,[9.483890100003919],[None],1622.4872543999809,1622.5011696000001,1622.5011696000001,1622.5011696000001,1626.768911399995,5,4.265624599996954,5,4.265624599996954,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,4,4,0,40,frames\Vid40_EM_T.png,frames\Vid40_L.png,['l'],1,[4.941249199997401],[None],5,2.079649400024209,,,,,0,4,4,39,1626.816580099985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1626.8061021999747,1626.816580099985,1626.816580099985,1626.816580099985,1626.816580099985,1626.816580099985,1626.816580099985,1631.7713524999854,['l'],1,[4.941249199997401],[None],1631.7725212999794,1631.7845384999819,1631.7845384999819,1631.7845384999819,1633.8695235999767,5,2.079649400024209,5,2.079649400024209,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
,,,5,5,0,32,frames\Vid32_EM_T.png,frames\Vid32_L.png,['r'],1,[3.136059499986004],[None],5,1.4804614000022411,,,,,0,5,5,31,1633.917693699972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633.8981482999807,1633.917693699972,1633.917693699972,1633.917693699972,1633.917693699972,1633.917693699972,1633.917693699972,1637.0710487999895,['r'],1,[3.136059499986004],[None],1637.0722952999931,1637.099570899998,1637.099570899998,1637.099570899998,1638.5689635999734,5,1.4804614000022411,5,1.4804614000022411,,,,,,sub86_NB,001,2026-01-29_10h51.01.160,recognitionstage,,2025.1.1,59.61386904974574,2026-01-29 10h51.55.310557 +0530,
