path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,movie.vigilance_resp.rt,movie.vigilance_resp.duration,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01030739999259822,0.01275220001116395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012773900001775473,0.028676699992502108,0.028676699992502108,6.296277599991299,space,6.262746199994581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.296328900003573,6.312504100002116,6.312504100002116,14.498139300005278,space,8.179105000017444,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
abrupt_videos\abrupt_16.mp4,34,0,44,44,0,,,,,,,,,,0,44,44,17,,,,,1543.6783637999906,,,,,,,,,,,,,,,,,,,,,,,,1543.6347907000163,1543.6783637999906,1543.6783637999906,1578.077641300013,1577.936629600008,None,3.219394399988232,None,0,1,1578.0717766000016,1578.077641300013,1580.564611400012,1580.5798627999902,1580.5646869000047,1580.5798627999902,1580.5798627999902,1594.6807824000134,space,14.088009800005239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,0,0,0,38,frames\Vid38_EM_T.png,frames\Vid38_L.png,['r'],1,[6.8770386000105646],[None],4,6.795570799993584,,,,,0,0,0,37,1594.710704099998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.698536300013,1594.710704099998,1594.710704099998,1594.710704099998,1594.710704099998,1594.710704099998,1594.710704099998,1601.5990317999967,['r'],1,[6.8770386000105646],[None],1601.6002967999957,1601.6266896000016,1601.6266896000016,1601.6266896000016,1608.413134100003,4,6.795570799993584,4,6.795570799993584,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,1,1,0,10,frames\Vid10_BB_T.png,frames\Vid10_L.png,['r'],1,[4.2780417000176385],[None],5,1.9316234000143595,,,,,0,1,1,9,1608.4776156000153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608.4603059999936,1608.4776156000153,1608.4776156000153,1608.4776156000153,1608.4776156000153,1608.4776156000153,1608.4776156000153,1612.7639442000072,['r'],1,[4.2780417000176385],[None],1612.764988800016,1612.7784321999934,1612.7784321999934,1612.7784321999934,1614.7129943000036,5,1.9316234000143595,5,1.9316234000143595,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,2,2,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['r'],1,[2.971854799980065],[None],5,1.8483291000011377,,,,,0,2,2,21,1614.7437778000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.739379800012,1614.7437778000021,1614.7437778000021,1614.7437778000021,1614.7437778000021,1614.7437778000021,1614.7437778000021,1617.7311040000059,['r'],1,[2.971854799980065],[None],1617.7320007999951,1617.7451464000042,1617.7451464000042,1617.7451464000042,1619.5962544000067,5,1.8483291000011377,5,1.8483291000011377,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,3,3,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['l'],1,[8.829773999983445],[None],5,2.8154020000074524,,,,,0,3,3,7,1619.6458656000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.6351646000112,1619.6458656000032,1619.6458656000032,1619.6458656000032,1619.6458656000032,1619.6458656000032,1619.6458656000032,1628.4801134000008,['l'],1,[8.829773999983445],[None],1628.481017300015,1628.4953492000059,1628.4953492000059,1628.4953492000059,1631.312692300009,5,2.8154020000074524,5,2.8154020000074524,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,4,4,0,6,frames\Vid6_BB_T.png,frames\Vid6_L.png,['l'],1,[5.685533599986229],[None],5,1.9494827000016812,,,,,0,4,4,5,1631.3821824000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631.357659500005,1631.3821824000042,1631.3821824000042,1631.3821824000042,1631.3821824000042,1631.3821824000042,1631.3821824000042,1637.0800877000147,['l'],1,[5.685533599986229],[None],1637.080864299991,1637.095503199991,1637.095503199991,1637.095503199991,1639.0460836999991,5,1.9494827000016812,5,1.9494827000016812,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
,,,5,5,0,33,frames\Vid33_BB_T.png,frames\Vid33_L.png,['r'],1,[4.825608799990732],[None],5,1.679570500011323,,,,,0,5,5,32,1639.082203500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.0578596999985,1639.082203500002,1639.082203500002,1639.082203500002,1639.082203500002,1639.082203500002,1639.082203500002,1643.9154099000152,['r'],1,[4.825608799990732],[None],1643.9169919000124,1643.928689399996,1643.928689399996,1643.928689399996,1645.61248109999,5,1.679570500011323,5,1.679570500011323,,,,,,,,sub92_AB,001,2026-01-29_22h02.46.526,recognitionstage,,2025.1.1,59.59429396358039,2026-01-29 22h03.21.241279 +0530,
