path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,text.stopped,ISI.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.01812889997381717,0.08104859996819869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08107610000297427,0.10179350001271814,0.10179350001271814,9.773644700006116,space,9.65666280000005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.773743300000206,9.78929549996974,9.78929549996974,16.489299899956677,space,6.689190300006885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
abrupt_videos\abrupt_21.mp4,39,0,44,44,0,,,,,,,,,,0,44,44,23,,,,,1520.1198979999754,,,,,,,,,,,,,,,,,,,,,,,,1520.0755453999736,1520.1198979999754,1520.1198979999754,1560.0197135999915,1559.876181199972,None,0,1,1560.0120973999728,1560.0197135999915,1562.5208062999882,1562.5062650999753,7.733178600028623,None,1562.5063372000004,1562.5208062999882,1562.5208062999882,1581.1064088999992,space,18.574403500009794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,0,0,0,4,frames\Vid4_EM_T.png,frames\Vid4_L.png,['r'],0,[10.236092399980407],[None],4,11.364991199981887,,,,,0,0,0,3,1581.2024585999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581.1811439999728,1581.2024585999898,1581.2024585999898,1581.2024585999898,1581.2024585999898,1581.2024585999898,1581.2024585999898,1591.4556306999875,['r'],0,[10.236092399980407],[None],1591.4565079999738,1591.4699970000074,1591.4699970000074,1591.4699970000074,1602.8372186999768,4,11.364991199981887,4,11.364991199981887,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,1,1,0,8,frames\Vid8_BB_T.png,frames\Vid8_L.png,['r'],1,[4.367151400016155],[None],4,2.682913800003007,,,,,0,1,1,7,1602.9194478999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602.9128124999697,1602.9194478999707,1602.9194478999707,1602.9194478999707,1602.9194478999707,1602.9194478999707,1602.9194478999707,1607.2886246999842,['r'],1,[4.367151400016155],[None],1607.2894970999914,1607.3036412000074,1607.3036412000074,1607.3036412000074,1609.987802699965,4,2.682913800003007,4,2.682913800003007,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,2,2,0,15,frames\Vid15_BB_T.png,frames\Vid15_L.png,['l'],1,[6.149146799987648],[None],4,2.2975244000554085,,,,,0,2,2,14,1610.0735694000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610.0494897000026,1610.0735694000032,1610.0735694000032,1610.0735694000032,1610.0735694000032,1610.0735694000032,1610.0735694000032,1616.2236274000024,['l'],1,[6.149146799987648],[None],1616.2246125999955,1616.236624000012,1616.236624000012,1616.236624000012,1618.5375420000055,4,2.2975244000554085,4,2.2975244000554085,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,3,3,0,39,frames\Vid39_BB_T.png,frames\Vid39_L.png,['r'],0,[7.129621800035238],[None],3,1.7980321999639273,,,,,0,3,3,38,1618.573139199987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618.5613788999617,1618.573139199987,1618.573139199987,1618.573139199987,1618.573139199987,1618.573139199987,1618.573139199987,1625.7060535000055,['r'],0,[7.129621800035238],[None],1625.7069955999614,1625.7207074000034,1625.7207074000034,1625.7207074000034,1627.521368399961,3,1.7980321999639273,3,1.7980321999639273,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,4,4,0,2,frames\Vid2_BB_T.png,frames\Vid2_L.png,['r'],1,[5.763412499974947],[None],4,1.448516300006304,,,,,0,4,4,1,1627.5873755000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.5729644999956,1627.5873755000066,1627.5873755000066,1627.5873755000066,1627.5873755000066,1627.5873755000066,1627.5873755000066,1633.3557094999705,['r'],1,[5.763412499974947],[None],1633.3568475999637,1633.3704526000074,1633.3704526000074,1633.3704526000074,1634.8208259000094,4,1.448516300006304,4,1.448516300006304,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
,,,5,5,0,37,frames\Vid37_BB_T.png,frames\Vid37_L.png,['l'],1,[4.65420680004172],[None],4,1.1498310000170022,,,,,0,5,5,36,1634.8565069999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634.846265900007,1634.8565069999895,1634.8565069999895,1634.8565069999895,1634.8565069999895,1634.8565069999895,1634.8565069999895,1639.521070399962,['l'],1,[4.65420680004172],[None],1639.5216831999714,1639.5371184999822,1639.5371184999822,1639.5371184999822,1640.687541799969,4,1.1498310000170022,4,1.1498310000170022,,,,,,sub97_AB,001,2026-01-30_11h59.07.929,recognitionstage,,2025.1.1,59.93791630106484,2026-01-30 11h59.38.612480 +0530,
