path,duration,is_repeat,thisN,thisTrialN,thisRepN,movie_id,target_img,lure_img,resp.keys,resp.corr,resp.rt,resp.duration,conf_radio.response,conf_radio.rt,movie.thisRepN,movie.thisTrialN,movie.thisN,movie.thisIndex,recogloop.thisRepN,recogloop.thisTrialN,recogloop.thisN,recogloop.thisIndex,thisRow.t,notes,age,gender,handedness,vision,caffeine_2h,alcohol_smoke_12h,demographics.started,demographics.stopped,Instructions.started,text1.started,key_resp.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction_2.started,text2.started,key_resp_2.started,instruction_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Videos.started,movie_2.started,vigilance_resp.started,movie_2.stopped,Videos.stopped,movie.vigilance_resp.keys,vigilance_pressed,vigilance_correct,ISI.started,text.started,ISI.stopped,text.stopped,movie.vigilance_resp.rt,movie.vigilance_resp.duration,recognition.started,text_4.started,key_resp_3.started,recognition.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,recognition_task.started,leftimage.started,rightimage.started,resp.started,frames_question.started,right_label.started,left_label.started,recognition_task.stopped,recogloop.resp.keys,recogloop.resp.corr,recogloop.resp.rt,recogloop.resp.duration,confidence.started,conf_text.started,conf_radio.started,conf_label.started,confidence.stopped,recogloop.conf_radio.response,recogloop.conf_radio.rt,confidence,confidence_rt,thank_you.started,text_6.started,key_resp_4.started,thank_you.stopped,key_resp_4.keys,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,Age (years):,Gender:,Handedness:,Vision:,Caffeine consumed in last 2 hours?,Alcohol or smoking in last 12 hours?,0.006841900001745671,0.009210599993821234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009232599986717105,0.02601380000123754,0.02601380000123754,10.626046099991072,space,10.597306400013622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.626076599990483,10.642515600018669,10.642515600018669,23.543435900006443,space,12.893355899956077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
abrupt_videos\abrupt_36.mp4,19,0,44,44,0,,,,,,,,,,0,44,44,39,,,,,1528.0422042999999,,,,,,,,,,,,,,,,,,,,,,,,1527.9917187999818,1528.0422042999999,1528.0422042999999,1547.608607799979,1547.4643372999853,None,0,1,1547.600456300017,1547.608607799979,1550.0951383999782,1550.1105807999847,3.7698843000107445,None,1550.0952137999702,1550.1105807999847,1550.1105807999847,1579.7281959999818,space,29.60956830001669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,0,0,0,22,frames\Vid22_EM_T.png,frames\Vid22_L.png,['l'],1,[9.90602029999718],[None],5,9.28085890004877,,,,,0,0,0,21,1579.7577588999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579.749182700005,1579.7577588999993,1579.7577588999993,1579.7577588999993,1579.7577588999993,1579.7577588999993,1579.7577588999993,1589.6787169000017,['l'],1,[9.90602029999718],[None],1589.679749300005,1589.7071493999683,1589.7071493999683,1589.7071493999683,1598.976771400019,5,9.28085890004877,5,9.28085890004877,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,1,1,0,31,frames\Vid31_EM_T.png,frames\Vid31_L.png,['l'],1,[8.295804399996996],[None],5,2.2307201999938115,,,,,0,1,1,30,1599.0080528999679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1598.9901586999767,1599.0080528999679,1599.0080528999679,1599.0080528999679,1599.0080528999679,1599.0080528999679,1599.0080528999679,1607.3116846000194,['l'],1,[8.295804399996996],[None],1607.3127771000145,1607.3260590999853,1607.3260590999853,1607.3260590999853,1609.560632799985,5,2.2307201999938115,5,2.2307201999938115,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,2,2,0,5,frames\Vid5_EM_T.png,frames\Vid5_L.png,['r'],1,[15.086176600016188],[None],3,5.081715099979192,,,,,0,2,2,4,1609.6094602000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1609.5921092999633,1609.6094602000085,1609.6094602000085,1609.6094602000085,1609.6094602000085,1609.6094602000085,1609.6094602000085,1624.711297700007,['r'],1,[15.086176600016188],[None],1624.7123229000135,1624.726160399965,1624.726160399965,1624.726160399965,1629.8100439999835,3,5.081715099979192,3,5.081715099979192,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,3,3,0,3,frames\Vid3_BB_T.png,frames\Vid3_L.png,['r'],1,[8.532795100007206],[None],5,1.7485951000126079,,,,,0,3,3,2,1629.8749988999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.8590225999942,1629.8749988999916,1629.8749988999916,1629.8749988999916,1629.8749988999916,1629.8749988999916,1629.8749988999916,1638.4115564000094,['r'],1,[8.532795100007206],[None],1638.4126661999617,1638.4262052999693,1638.4262052999693,1638.4262052999693,1640.176725599973,5,1.7485951000126079,5,1.7485951000126079,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,4,4,0,21,frames\Vid21_BB_T.png,frames\Vid21_L.png,['l'],1,[8.779877500026487],[None],5,1.881819500005804,,,,,0,4,4,20,1640.211768899986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.1902303000097,1640.211768899986,1640.211768899986,1640.211768899986,1640.211768899986,1640.211768899986,1640.211768899986,1648.9948679999798,['l'],1,[8.779877500026487],[None],1648.9959577000118,1649.009038499964,1649.009038499964,1649.009038499964,1650.894015799975,5,1.881819500005804,5,1.881819500005804,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
,,,5,5,0,17,frames\Vid17_BB_T.png,frames\Vid17_L.png,['r'],0,[16.26475460000802],[None],2,2.3659538000356406,,,,,0,5,5,16,1650.942862499971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.9214247000054,1650.942862499971,1650.942862499971,1650.942862499971,1650.942862499971,1650.942862499971,1650.942862499971,1667.2100147000165,['r'],0,[16.26475460000802],[None],1667.2107194999699,1667.2264287999715,1667.2264287999715,1667.2264287999715,1669.5933487999719,2,2.3659538000356406,2,2.3659538000356406,,,,,,sub98_AB,001,2026-01-30_16h57.35.850,recognitionstage,,2025.1.1,59.95732239496839,2026-01-30 16h58.18.936666 +0530,
