participant_id,condition,n_trials,status
sub109_AB,AB,40,success
sub137_AB,AB,40,success
sub157_AB,AB,40,success
sub133_AB,AB,40,success
sub25_AB,AB,40,success
sub144_AB,AB,40,success
sub33_AB,AB,40,success
sub127_AB,AB,40,success
sub147_AB,AB,40,success
sub121_AB,AB,40,success
sub94_AB,AB,40,success
sub124_AB,AB,40,success
sub89_AB,AB,40,success
sub108_AB,AB,40,success
sub104_AB,AB,40,success
sub102_AB,AB,40,success
sub96_AB,AB,40,success
sub93_AB,AB,40,success
sub132_AB,AB,40,success
sub105_AB,AB,40,success
sub123_AB,AB,40,success
sub149_AB,AB,40,success
sub106_AB,AB,40,success
sub99_AB,AB,40,success
sub118_AB,AB,40,success
sub135_AB,AB,40,success
sub140_AB,AB,40,success
sub91_AB,AB,40,success
sub117_AB,AB,40,success
sub28_AB,AB,40,success
sub29_AB,AB,40,success
sub134_AB,AB,40,success
sub110_AB,AB,40,success
sub32_AB,AB,40,success
sub148_AB,AB,40,success
sub97_AB,AB,40,success
sub40_AB,AB,40,success
sub146_AB,AB,40,success
sub38_AB,AB,40,success
sub128_AB,AB,40,success
sub35_AB,AB,40,success
sub27_AB,AB,40,success
sub139_AB,AB,40,success
sub111_AB,AB,40,success
sub90_AB,AB,40,success
sub138_AB,AB,40,success
sub116_AB,AB,40,success
sub36_AB,AB,40,success
sub30_AB,AB,40,success
sub114_AB,AB,40,success
sub126_AB,AB,40,success
sub112_AB,AB,40,success
sub23_AB,AB,40,success
sub98_AB,AB,40,success
sub143_AB,AB,40,success
sub122_AB,AB,40,success
sub115_AB,AB,40,success
sub107_AB,AB,40,success
sub92_AB,AB,40,success
sub142_AB,AB,40,success
sub131_AB,AB,40,success
sub103_AB,AB,40,success
sub31_AB,AB,40,success
sub88_AB,AB,40,success
sub37_AB,AB,40,success
sub95_AB,AB,40,success
sub136_AB,AB,40,success
sub125_AB,AB,40,success
sub120_AB,AB,40,success
sub34_AB,AB,40,success
sub26_AB,AB,40,success
sub113_AB,AB,40,success
sub119_AB,AB,40,success
sub39_AB,AB,40,success
sub100_AB,AB,40,success
sub129_AB,AB,40,success
sub145_AB,AB,40,success
sub101_AB,AB,40,success
sub130_AB,AB,40,success
sub141_AB,AB,40,success
sub41_AB,AB,40,success
sub169_NB,NB,40,success
sub77_NB,NB,40,success
sub180_NB,NB,40,success
sub53_NB,NB,40,success
sub74_NB,NB,40,success
sub47_NB,NB,40,success
sub50_NB,NB,40,success
sub85_NB,NB,40,success
sub87_NB,NB,40,success
sub42_NB_recognitionstage_2026-01-20_09h31.14.064.csv,unknown,0,processing_error
sub173_NB,NB,40,success
sub78_NB,NB,40,success
sub70_NB,NB,40,success
sub168_NB,NB,40,success
sub84_NB,NB,40,success
sub68_NB,NB,40,success
sub19_NB,NB,40,success
sub151_NB,NB,40,success
sub165_NB,NB,40,success
sub171_NB,NB,40,success
sub54_NB,NB,40,success
sub48_NB,NB,40,success
sub51_NB,NB,40,success
sub152_NB,NB,40,success
sub167_NB,NB,40,success
sub179_NB,NB,40,success
sub43_NB,NB,40,success
sub15_NB,NB,40,success
sub71_NB,NB,40,success
sub184_NB,NB,40,success
sub162_NB,NB,40,success
sub24_NB,NB,40,success
sub45_NB,NB,40,success
sub178_NB,NB,40,success
sub159_NB,NB,40,success
sub22_NB,NB,40,success
sub76_NB,NB,40,success
sub82_NB,NB,40,success
sub61_NB,NB,40,success
sub185_NB,NB,40,success
sub55_NB,NB,40,success
sub177_NB,NB,40,success
sub175_NB,NB,40,success
sub80_NB,NB,40,success
sub150_NB,NB,40,success
sub183_NB,NB,40,success
sub164_NB,NB,40,success
sub83_NB,NB,40,success
sub67_NB,NB,40,success
sub57_NB,NB,40,success
sub181_NB,NB,40,success
sub46_NB,NB,40,success
sub62_NB,NB,40,success
sub158_NB,NB,40,success
sub160_NB,NB,40,success
sub170_NB,NB,40,success
sub182_NB,NB,40,success
sub66_NB,NB,40,success
sub75_NB,NB,40,success
sub166_NB,NB,40,success
sub156_NB,NB,40,success
sub60_NB,NB,40,success
sub153_NB,NB,40,success
sub14_NB,NB,40,success
sub69_NB,NB,40,success
sub21_NB,NB,40,success
sub59_NB,NB,40,success
sub161_NB,NB,40,success
sub73_NB,NB,40,success
sub16_NB,NB,40,success
sub44_NB,NB,40,success
sub81_NB,NB,40,success
sub163_NB,NB,40,success
sub17_NB,NB,40,success
sub72_NB,NB,40,success
sub52_NB,NB,40,success
sub86_NB,NB,40,success
sub172_NB,NB,40,success
sub56_NB,NB,40,success
sub79_NB,NB,40,success
sub176_NB,NB,40,success
sub174_NB,NB,40,success
sub49_NB,NB,40,success
sub18_NB,NB,40,success
sub154_NB,NB,40,success
sub65_NB,NB,40,success
sub63_NB,NB,40,success
sub64_NB,NB,40,success
sub155_NB,NB,40,success
sub58_NB,NB,40,success
