participant_id,condition,age,gender,n_trials,accuracy,rt_mean,confidence_mean
sub42_NB,NB,26.0,Male,80,0.9875,5.653126163747584,4.6
sub90_AB,AB,20.0,Female,80,0.975,5.585349033749298,4.7375
sub117_AB,AB,22.0,Male,40,0.975,3.2507926425038023,4.9
SUB99_ab,AB,23.0,Male,40,0.975,9.482880237499193,4.125
sub75_NB,NB,21.0,Male,40,0.975,5.044551855001191,4.625
sub17_NB,NB,22.0,Male,40,0.975,5.914260652501253,4.325
sub173_NB,NB,20.0,Male,40,0.975,6.2600108124970575,4.625
sub63_NB,NB,27.0,Male,40,0.975,7.0455133599991315,3.55
sub156_NB,NB,21.0,Male,40,0.95,4.370602202498413,4.65
sub60_nb,NB,22.0,Female,40,0.95,4.9480228299999,4.675
sub151_NB,NB,25.0,Male,40,0.95,4.533935000003112,4.25
sub69_nb,NB,27.0,Male,40,0.95,5.102304485000786,4.775
sub50_NB,NB,20.0,Male,40,0.95,5.944745974993566,4.475
sub83_NB,NB,22.0,Female,40,0.95,4.7477389700026835,4.4
sub172_NB,NB,25.0,Male,40,0.95,4.555101190001733,4.6
sub180_NB,NB,20.0,Male,40,0.95,5.4812397999980025,4.15
sub18_NB,NB,20.0,Female,40,0.95,4.1020021850032204,4.125
sub163_NB,NB,20.0,Male,40,0.95,4.985194747500645,3.975
sub29_AB,AB,22.0,Male,40,0.95,11.632787677500255,4.85
test3,AB,22.0,Male,40,0.95,5.770405915001175,4.025
sub106_AB,AB,23.0,Male,40,0.95,6.237957584991818,3.85
sub124_AB,AB,21.0,Female,40,0.925,5.334255719999874,4.825
sub32_AB,AB,19.0,Female,40,0.925,5.501531177499419,4.525
sub171_NB,NB,23.0,Male,40,0.925,5.534047029999056,3.9
sub73_NB,NB,23.0,Male,40,0.925,5.931091035001009,3.75
aru13,NB,22.0,Male,40,0.925,3.2556977824991917,4.7
Sub40_NB,NB,22.0,Male,40,0.925,5.310274947501602,4.275
sub183_NB,NB,20.0,Male,80,0.925,4.9232269262443875,4.35
sub19_NB,NB,22.0,Male,40,0.925,3.6123558174999912,4.85
test5,AB,22.0,Male,40,0.925,5.019161572500889,4.75
sub25_AB,AB,20.0,Male,40,0.925,4.4982109199998375,2.9
sub27_AB,AB,21.0,Female,40,0.925,4.587174685000173,4.125
sub127_AB,AB,20.0,Female,80,0.9125,3.836399076250109,4.225
sub22_NB,NB,25.0,Female,80,0.9125,4.957972991249937,4.3875
sub41_NB,NB,22.0,Male,40,0.9,5.261331962500845,4.4
sub188_NB,NB,22.0,Male,40,0.9,5.761077582492726,4.425
sub150_AB,NB,22.0,Male,40,0.9,9.52359769749819,4.375
sub181-NB,NB,22.0,Male,40,0.9,5.10812078750314,4.425
sub35_AB,AB,26.0,Male,40,0.9,4.313216292497964,4.775
sub176_NB,NB,22.0,Male,40,0.9,5.642395432495687,3.575
sub46_NB,NB,20.0,Female,40,0.9,5.829123224999057,3.7
sub49_NB,NB,22.0,Male,40,0.9,4.939929319990915,4.275
sub114_AB,AB,20.0,Female,40,0.9,5.341037039991352,4.325
sub58_NB,NB,22.0,Male,40,0.9,6.717097315008869,4.575
sub52_NB,NB,19.0,Female,40,0.9,5.814105174996075,4.9
sub120_AB,AB,21.0,Male,40,0.9,5.847795534999955,4.175
sub72_NB,NB,28.0,Male,40,0.9,4.148620717499943,4.625
sub94_AB,AB,22.0,Male,40,0.9,5.0399133025021,4.625
sub115_AB,AB,20.0,Male,40,0.9,5.1035706674927495,4.25
