participant_id,condition,n_trials,n_correct,accuracy,rt_mean,rt_median,rt_std,confidence_mean,confidence_std,age,gender,handedness,vision,age_was_missing,gender_was_missing,handedness_was_missing,vision_was_missing,age_imputed,gender_imputed,handedness_imputed,vision_imputed,id_suspect_nonstandard,rt_outlier,vigilance_pressed,vigilance_correct,passed_vigilance
sub100_AB,AB,40,39.0,0.975,9.482880237499192,8.479430050007068,4.843396232217209,4.125,1.2022948143083796,21.0,Male,Right handed,Normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub101_AB,AB,40,33.0,0.825,6.001849695001146,5.242409700003918,2.860809294694648,4.25,1.126601424298216,22.0,Female,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub102_AB,AB,40,34.0,0.85,4.728354602507897,4.439567749970593,1.8247023420176425,4.1,1.0813097471264972,23.0,Male,Right handed,Normal,False,False,False,False,False,False,False,False,False,False,1.0,1.0,True
sub103_AB,AB,40,34.0,0.85,4.3779745174979325,3.8732350999780465,2.2286109256043827,3.5,1.2608503439122305,21.0,Male,Left Handed,Normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub104_AB,AB,40,33.0,0.825,4.069636187500146,3.875715449976269,1.482301824062927,4.3,1.1140133037920334,23.0,Male,Right handed,Normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub105_AB,AB,40,30.0,0.75,5.844686734999414,5.560465299990028,2.534902239616591,3.575,1.1521996799878496,23.0,Female,Right handed,Normal,False,False,False,False,False,False,False,False,False,False,0.0,0.0,False
sub106_AB,AB,40,29.0,0.725,4.792938405003224,3.917378850019305,3.1352077375693197,4.475,0.7506407519323332,23.0,Male,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub107_AB,AB,40,38.0,0.95,6.237957584991818,4.089366700034589,4.932562390962027,3.85,1.0512507812735292,19.0,Female,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub108_AB,AB,40,30.0,0.75,6.047169695001503,4.4417497999966145,4.168518444810474,3.25,1.6756169931378435,20.0,Female,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub109_AB,AB,40,32.0,0.8,6.270248930001981,5.52179954998428,3.585099774693727,3.6,1.194002104537938,22.0,Male,Right handed,Normal,True,True,True,True,True,True,True,True,False,False,0.0,1.0,True
sub110_AB,AB,40,33.0,0.825,4.345379349999712,3.5652537000132725,2.3575961696695757,4.55,0.7493587001820033,25.0,Male,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
sub111_AB,AB,40,35.0,0.875,6.757949772498978,5.783678199979477,4.5229249292301,3.475,0.9867714774546074,23.0,Male,Right handed,Corrected to normal,False,False,False,False,False,False,False,False,False,False,0.0,1.0,True
