participant_id,condition,vigilance_pressed,vigilance_correct,encoding_duration,vigilance_accuracy,passed_vigilance
sub169_NB,NB,0.0,1.0,,1.0,True
sub109_AB,AB,0.0,1.0,,1.0,True
sub77_NB,NB,0.0,1.0,,1.0,True
sub180_NB,NB,0.0,1.0,,1.0,True
sub137_AB,AB,0.0,1.0,,1.0,True
sub157_AB,AB,0.0,1.0,,1.0,True
sub53_NB,NB,0.0,1.0,,1.0,True
sub74_NB,NB,0.0,1.0,,1.0,True
sub47_NB,NB,0.0,1.0,,1.0,True
sub133_AB ,AB ,1.0,1.0,,1.0,True
sub25_AB,AB,0.0,1.0,,1.0,True
sub144_AB,AB,1.0,1.0,,1.0,True
sub50_NB,NB,0.0,1.0,,1.0,True
sub85_NB,NB,0.0,1.0,,1.0,True
sub33_AB,AB,0.0,1.0,,1.0,True
sub127_AB,AB,0.0,1.0,,1.0,True
sub87_NB,NB,0.0,1.0,,1.0,True
sub147_AB,AB,0.0,1.0,,1.0,True
sub121_AB,AB,0.0,1.0,,1.0,True
sub94_AB,AB,1.0,1.0,,1.0,True
sub173_NB,NB,0.0,1.0,,1.0,True
sub124_AB,AB,0.0,1.0,,1.0,True
sub78_NB,NB,0.0,1.0,,1.0,True
sub70_NB,NB,0.0,0.0,,0.0,False
sub89_AB,AB,0.0,1.0,,1.0,True
sub108_AB,AB,0.0,1.0,,1.0,True
sub168_NB,NB,0.0,1.0,,1.0,True
sub84_NB,NB,0.0,1.0,,1.0,True
sub104_AB,AB,0.0,1.0,,1.0,True
sub68_NB,NB,0.0,1.0,,1.0,True
sub102_AB,AB,1.0,1.0,,1.0,True
sub96_AB,AB,1.0,1.0,,1.0,True
sub93_AB,AB,0.0,1.0,,1.0,True
sub151_NB,NB,1.0,1.0,,1.0,True
sub132_AB,AB,1.0,1.0,,1.0,True
sub165_NB,NB,0.0,1.0,,1.0,True
sub105_AB,AB,0.0,0.0,,0.0,False
sub123_AB,AB,0.0,1.0,,1.0,True
sub171_NB,NB,0.0,1.0,,1.0,True
sub54_NB,NB,0.0,1.0,,1.0,True
sub48_NB,NB,0.0,1.0,,1.0,True
sub51_NB,NB,1.0,1.0,,1.0,True
sub149_AB,AB,0.0,1.0,,1.0,True
sub152_NB,NB,0.0,1.0,,1.0,True
sub167_NB,NB,1.0,1.0,,1.0,True
sub106_AB,AB,0.0,1.0,,1.0,True
sub99_AB,AB,0.0,1.0,,1.0,True
sub118_AB,AB,0.0,1.0,,1.0,True
sub135_AB,AB,0.0,1.0,,1.0,True
sub140_AB,AB,0.0,1.0,,1.0,True
sub179_NB,NB,1.0,1.0,,1.0,True
Sub43_NB,NB,0.0,1.0,,1.0,True
sub91_AB,AB,1.0,1.0,,1.0,True
sub117_AB,AB,1.0,1.0,,1.0,True
sub28_AB,AB,0.0,1.0,,1.0,True
sub29_AB,AB,0.0,1.0,,1.0,True
sub134_AB,AB,0.0,1.0,,1.0,True
sub110_AB,AB,0.0,1.0,,1.0,True
sub32_AB,AB,0.0,1.0,,1.0,True
sub148_AB,AB,0.0,1.0,,1.0,True
sub71_NB,NB,0.0,1.0,,1.0,True
sub97_AB,AB,0.0,1.0,,1.0,True
sub184_NB,NB,0.0,1.0,,1.0,True
sub162_NB,NB,0.0,1.0,,1.0,True
sub40_AB,AB,0.0,1.0,,1.0,True
sub45_NB,NB,0.0,1.0,,1.0,True
sub146_AB,AB,1.0,1.0,,1.0,True
sub178_NB,NB,0.0,1.0,,1.0,True
sub159_NB,NB,0.0,1.0,,1.0,True
sub38_AB,AB,0.0,1.0,,1.0,True
sub76_NB,NB,0.0,1.0,,1.0,True
sub82_NB,NB,0.0,1.0,,1.0,True
sub61_NB,NB,1.0,1.0,,1.0,True
sub185_NB,NB,0.0,1.0,,1.0,True
sub128_AB,AB,0.0,1.0,,1.0,True
sub55_NB,NB,0.0,1.0,,1.0,True
sub177_NB,NB,1.0,1.0,,1.0,True
sub175_NB,NB,0.0,1.0,,1.0,True
sub80_NB,NB,0.0,1.0,,1.0,True
sub150_NB,NB,0.0,1.0,,1.0,True
sub183_NB,NB,0.0,1.0,,1.0,True
sub164_NB,NB,0.0,1.0,,1.0,True
