variable,min,q1,median,q3,max,iqr,mean,n
Recognition Accuracy (participant-level),0.575,0.825,0.875,0.9,1.0,0.07500000000000007,0.8561764705882353,170
Mean Response Time (participant-level),2.9811025575036183,4.7441052275008815,5.475744700000723,6.24308941499703,12.17966514750078,1.4989841874961485,5.692580309852606,170
Response Time (trial-level),0.275554199994076,3.380463424995469,4.6262297999928705,6.698852625011114,71.08478399999876,3.3183892000156447,5.692580309852605,6800
Mean Confidence Rating (participant-level),2.9,3.80625,4.225,4.475,5.0,0.6687499999999997,4.143529411764707,170
Recognition Accuracy (AB),0.575,0.775,0.85,0.9,0.975,0.125,0.8395061728395063,81
Mean Response Time (AB),3.2507926425038023,4.719904487501481,5.341037039991352,6.160890085,11.632787677500255,1.4409855974985195,5.572000753703575,81
Response Time - trial level (AB),1.230276699992828,3.3349374499921396,4.512530250006762,6.569644950002839,71.08478399999876,3.2347075000106997,5.572000753703575,3240
Mean Confidence (AB),2.9,3.7,4.1,4.425,4.9,0.7249999999999996,4.080555555555556,81
Recognition Accuracy (NB),0.65,0.825,0.875,0.925,1.0,0.10000000000000009,0.8713483146067416,89
Mean Response Time (NB),2.9811025575036183,4.8335976275004215,5.5575203750049695,6.261664452496916,12.17966514750078,1.4280668249964945,5.802321254212958,89
Response Time - trial level (NB),0.275554199994076,3.433220849983627,4.730730600000243,6.844318924995605,54.72299500001827,3.411098075011978,5.802321254212959,3560
Mean Confidence (NB),3.0,3.95,4.275,4.5,5.0,0.5499999999999998,4.200842696629214,89
