term,coef,se,z_or_t,p,OR,OR_ci_low,OR_ci_high,stable
Intercept,2.4932396508065118,0.5938081093306374,4.198729541799259,2.6841667689756304e-05,12.100413805341837,3.778764645250812,38.74811691289888,True
"C(condition, Treatment('NB'))[T.AB]",-0.2777638649521904,0.1178029316968818,-2.3578688658352185,0.01838018451362612,0.7574756669504966,0.6013047698824616,0.9542072751796992,True
"C(target_type, Treatment('BB'))[T.EM]",0.18526828283303015,0.09527044067238447,1.9446565117729415,0.051816332883407895,1.2035412862846713,0.9985427131990415,1.450625605339555,True
"C(gender, Treatment('Female'))[T.Male]",-0.22788095271379324,0.11584791074025359,-1.9670700253259863,0.04917513836513901,0.7962190419097329,0.6344868700331983,0.999177118773919,True
C(handedness)[T.Right handed],0.32394338574403264,0.24715641767831678,1.3106816678564137,0.18996533472070143,1.3825690317866925,0.8517397202807676,2.2442268243935906,True
C(vision)[T.Normal],0.055406528148102104,0.09486270255554553,0.584070732284478,0.5591727249203413,1.0569702154914686,0.8776381041868577,1.2729461393100836,True
C(vision)[T.Uncorrected vision difficulty],1.2950150005221943,0.3936619665341033,3.289662478506178,0.0010030762558724566,3.6510507413981808,1.6878435766730904,7.897752908204514,True
"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.021377579072151546,0.13099449014497946,0.16319449045903914,0.8703653040332714,1.0216077165171584,0.7902808393977209,1.3206473881396406,True
is_repeat,0.42571043097839073,0.10761476789772513,3.9558737085506444,7.625543989677572e-05,1.5306774741746365,1.2396007620601468,1.8901033313756233,True
age,-0.0394701559674384,0.023614387921754413,-1.6714452264535338,0.09463376907476027,0.9612986425904952,0.9178204407444961,1.006836456482428,True
