term,coef,se,z_or_t,p,OR,OR_ci_low,OR_ci_high,stable
Intercept,,,,,,,,False
"C(condition, Treatment('NB'))[T.AB]",,,,,,,,False
"C(target_type, Treatment('BB'))[T.EM]",,,,,,,,False
"C(gender, Treatment('Female'))[T.Male]",,,,,,,,False
C(handedness)[T.Right handed],,,,,,,,False
C(vision)[T.Normal],,,,,,,,False
C(vision)[T.Uncorrected vision difficulty],,,,,,,,False
C(stimulus_id)[T.AB_10],,,,,,,,False
C(stimulus_id)[T.AB_11],,,,,,,,False
C(stimulus_id)[T.AB_12],,,,,,,,False
C(stimulus_id)[T.AB_13],,,,,,,,False
C(stimulus_id)[T.AB_14],,,,,,,,False
C(stimulus_id)[T.AB_15],,,,,,,,False
C(stimulus_id)[T.AB_16],,,,,,,,False
C(stimulus_id)[T.AB_17],,,,,,,,False
C(stimulus_id)[T.AB_18],,,,,,,,False
C(stimulus_id)[T.AB_19],,,,,,,,False
C(stimulus_id)[T.AB_2],,,,,,,,False
C(stimulus_id)[T.AB_20],,,,,,,,False
C(stimulus_id)[T.AB_21],,,,,,,,False
C(stimulus_id)[T.AB_22],,,,,,,,False
C(stimulus_id)[T.AB_23],,,,,,,,False
C(stimulus_id)[T.AB_24],,,,,,,,False
C(stimulus_id)[T.AB_25],,,,,,,,False
C(stimulus_id)[T.AB_26],,,,,,,,False
C(stimulus_id)[T.AB_27],,,,,,,,False
C(stimulus_id)[T.AB_28],,,,,,,,False
C(stimulus_id)[T.AB_29],,,,,,,,False
C(stimulus_id)[T.AB_3],,,,,,,,False
C(stimulus_id)[T.AB_30],,,,,,,,False
C(stimulus_id)[T.AB_31],,,,,,,,False
C(stimulus_id)[T.AB_32],,,,,,,,False
C(stimulus_id)[T.AB_33],,,,,,,,False
C(stimulus_id)[T.AB_34],,,,,,,,False
C(stimulus_id)[T.AB_35],,,,,,,,False
C(stimulus_id)[T.AB_36],,,,,,,,False
C(stimulus_id)[T.AB_37],,,,,,,,False
C(stimulus_id)[T.AB_38],,,,,,,,False
C(stimulus_id)[T.AB_39],,,,,,,,False
C(stimulus_id)[T.AB_4],,,,,,,,False
C(stimulus_id)[T.AB_40],,,,,,,,False
C(stimulus_id)[T.AB_5],,,,,,,,False
C(stimulus_id)[T.AB_6],,,,,,,,False
C(stimulus_id)[T.AB_7],,,,,,,,False
C(stimulus_id)[T.AB_8],,,,,,,,False
C(stimulus_id)[T.AB_9],,,,,,,,False
C(stimulus_id)[T.NB_1],,,,,,,,False
C(stimulus_id)[T.NB_10],,,,,,,,False
C(stimulus_id)[T.NB_11],,,,,,,,False
C(stimulus_id)[T.NB_12],,,,,,,,False
C(stimulus_id)[T.NB_13],,,,,,,,False
C(stimulus_id)[T.NB_14],,,,,,,,False
C(stimulus_id)[T.NB_15],,,,,,,,False
C(stimulus_id)[T.NB_16],,,,,,,,False
C(stimulus_id)[T.NB_17],,,,,,,,False
C(stimulus_id)[T.NB_18],,,,,,,,False
C(stimulus_id)[T.NB_19],,,,,,,,False
C(stimulus_id)[T.NB_2],,,,,,,,False
C(stimulus_id)[T.NB_20],,,,,,,,False
C(stimulus_id)[T.NB_21],,,,,,,,False
C(stimulus_id)[T.NB_22],,,,,,,,False
C(stimulus_id)[T.NB_23],,,,,,,,False
C(stimulus_id)[T.NB_24],,,,,,,,False
C(stimulus_id)[T.NB_25],,,,,,,,False
C(stimulus_id)[T.NB_26],,,,,,,,False
C(stimulus_id)[T.NB_27],,,,,,,,False
C(stimulus_id)[T.NB_28],,,,,,,,False
C(stimulus_id)[T.NB_29],,,,,,,,False
C(stimulus_id)[T.NB_3],,,,,,,,False
C(stimulus_id)[T.NB_30],,,,,,,,False
C(stimulus_id)[T.NB_31],,,,,,,,False
C(stimulus_id)[T.NB_32],,,,,,,,False
C(stimulus_id)[T.NB_33],,,,,,,,False
C(stimulus_id)[T.NB_34],,,,,,,,False
C(stimulus_id)[T.NB_35],,,,,,,,False
C(stimulus_id)[T.NB_36],,,,,,,,False
C(stimulus_id)[T.NB_37],,,,,,,,False
C(stimulus_id)[T.NB_38],,,,,,,,False
C(stimulus_id)[T.NB_39],,,,,,,,False
C(stimulus_id)[T.NB_4],,,,,,,,False
C(stimulus_id)[T.NB_40],,,,,,,,False
C(stimulus_id)[T.NB_5],,,,,,,,False
C(stimulus_id)[T.NB_6],,,,,,,,False
C(stimulus_id)[T.NB_7],,,,,,,,False
C(stimulus_id)[T.NB_8],,,,,,,,False
C(stimulus_id)[T.NB_9],,,,,,,,False
"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",,,,,,,,False
is_repeat,,,,,,,,False
age,,,,,,,,False
movie_duration,,,,,,,,False
