term,coef,se,z_or_t,p,OR,OR_ci_low,OR_ci_high,stable
Intercept,1.7380734074131456,0.5998999632004874,2.897272068730364,0.0037642315579258954,5.686377529864899,1.754688038388323,18.427714046453488,True
"C(condition, Treatment('NB'))[T.AB]",-0.2670417106903555,0.11823584884287044,-2.2585511357493666,0.023911320302784596,0.7656411353790192,0.6072712510831304,0.9653122013250499,True
"C(target_type, Treatment('BB'))[T.EM]",0.195781812061857,0.09520195990307687,2.056489301913305,0.03973537641607849,1.2162615027920154,1.009231751555716,1.4657605063391879,True
"C(gender, Treatment('Female'))[T.Male]",-0.22792310811989233,0.11577613547758744,-1.968653619156384,0.04899288077970237,0.7961854776801393,0.6345493837258278,0.9989944535863704,True
C(handedness)[T.Right handed],0.333939167585748,0.2490711529320932,1.3407380327050287,0.18000552166424677,1.3964581910674339,0.857073738282607,2.2752948693853403,True
C(vision)[T.Normal],0.057456409876986296,0.09493025060766457,0.6052486905828027,0.5450137680287133,1.0591391016447538,0.8793225809247815,1.2757270892021075,True
C(vision)[T.Uncorrected vision difficulty],1.2507954726495314,0.3955937207882721,3.161818317432234,0.0015678735265925575,3.4931205344187717,1.6087315758416298,7.584789937124533,True
"C(condition, Treatment('NB'))[T.AB]:C(target_type, Treatment('BB'))[T.EM]",0.026735228265217334,0.13146735627608638,0.20336020303832955,0.8388535032198957,1.0270958208162468,0.7937902231864415,1.3289730640716446,True
is_repeat,0.415101164567324,0.1080074411662758,3.8432645018252227,0.00012140849731405109,1.514523949102299,1.2255754267394974,1.8715965923915177,True
age,-0.0392150689314098,0.023735714208932713,-1.6521545796440193,0.09850304294414985,0.9615438886901925,0.9178363117251908,1.0073328305562632,True
movie_duration,0.022172727548695436,0.0034001767410668446,6.521051473853235,6.981621839323821e-11,1.0224203693835996,1.015629384522682,1.0292567620242485,True
