term,coef,se,z_or_t,p,OR,OR_ci_low,OR_ci_high,stable
Intercept,1.73327211311362,0.5981262124640667,2.8978367391276114,0.003757461293281142,5.659140995476787,1.7523649550089737,18.275803059826657,True
"C(condition, Treatment('NB'))[T.AB]",-0.2551525308214338,0.09688339166862475,-2.6336044437228736,0.008448384749990968,0.7747983083251146,0.6407983301004199,0.9368195739358185,True
"C(target_type, Treatment('BB'))[T.EM]",0.20966543332705986,0.0662105632762537,3.166646271415365,0.0015420777070735267,1.2332653814308343,1.0831734518879945,1.4041550763496875,True
"C(gender, Treatment('Female'))[T.Male]",-0.2279308466607093,0.11578381666557314,-1.9685898532698973,0.04900020869618642,0.796179316390162,0.6345349203574183,0.999001762567211,True
C(handedness)[T.Right handed],0.3336220845348682,0.2489902599049548,1.3399001417252998,0.180277812035733,1.396015468037478,0.8569378723267014,2.274212927138445,True
C(vision)[T.Normal],0.057570967704412015,0.09493785596869102,0.6064068660176821,0.5442446102607797,1.059260441269249,0.8794102111875437,1.2758922607036212,True
C(vision)[T.Uncorrected vision difficulty],1.250715677745288,0.3949239393461293,3.1669786334454235,0.0015403163528448893,3.4928418123206666,1.610716288897692,7.574235146181239,True
is_repeat,0.4150763244448149,0.1079908397051743,3.843625307276195,0.00012123005443762683,1.5144863286091113,1.2255848614311218,1.8714892062762392,True
age,-0.03925890307788055,0.023733848908247188,-1.65413133072734,0.09810083146278607,0.9615017411582949,0.9177994354327983,1.0072849933869064,True
movie_duration,0.02216828703506162,0.0033996497136280753,6.520756225618263,6.995379729772694e-11,1.02241582932209,1.0156259237116962,1.0292511284352701,True
