participant_id,condition,target_type,n_correct,n_trials,age,gender,n_incorrect
sub100_AB,AB,BB,18,18,21.0,Male,0
sub100_AB,AB,EM,17,17,21.0,Male,0
sub101_AB,AB,BB,11,18,22.0,Female,7
sub101_AB,AB,EM,17,17,22.0,Female,0
sub102_AB,AB,BB,14,18,23.0,Male,4
sub102_AB,AB,EM,16,17,23.0,Male,1
sub103_AB,AB,BB,15,18,21.0,Male,3
sub103_AB,AB,EM,14,17,21.0,Male,3
sub104_AB,AB,BB,15,18,23.0,Male,3
sub104_AB,AB,EM,13,17,23.0,Male,4
sub106_AB,AB,BB,12,18,23.0,Male,6
sub106_AB,AB,EM,13,17,23.0,Male,4
sub107_AB,AB,BB,16,18,19.0,Female,2
sub107_AB,AB,EM,17,17,19.0,Female,0
sub108_AB,AB,BB,13,18,20.0,Female,5
sub108_AB,AB,EM,13,17,20.0,Female,4
sub109_AB,AB,BB,14,18,22.0,Male,4
sub109_AB,AB,EM,15,17,22.0,Male,2
sub110_AB,AB,BB,16,18,25.0,Male,2
sub110_AB,AB,EM,12,17,25.0,Male,5
sub111_AB,AB,BB,14,18,23.0,Male,4
sub111_AB,AB,EM,16,17,23.0,Male,1
sub112_AB,AB,BB,13,18,22.0,Male,5
sub112_AB,AB,EM,14,17,22.0,Male,3
sub113_AB,AB,BB,14,18,25.0,Male,4
sub113_AB,AB,EM,17,17,25.0,Male,0
sub114_AB,AB,BB,15,18,20.0,Female,3
sub114_AB,AB,EM,14,17,20.0,Female,3
sub115_AB,AB,BB,15,18,20.0,Male,3
sub115_AB,AB,EM,16,17,20.0,Male,1
sub116_AB,AB,BB,15,18,20.0,Male,3
sub116_AB,AB,EM,16,17,20.0,Male,1
sub117_AB,AB,BB,12,18,22.0,Male,6
sub117_AB,AB,EM,12,17,22.0,Male,5
sub118_AB,AB,BB,18,18,23.0,Male,0
sub118_AB,AB,EM,16,17,23.0,Male,1
sub119_AB,AB,BB,16,18,23.0,Male,2
sub119_AB,AB,EM,16,17,23.0,Male,1
sub120_AB,AB,BB,14,18,21.0,Male,4
sub120_AB,AB,EM,17,17,21.0,Male,0
sub121_AB,AB,BB,16,18,22.0,Female,2
sub121_AB,AB,EM,16,17,22.0,Female,1
sub122_AB,AB,BB,14,18,24.0,Male,4
sub122_AB,AB,EM,14,17,24.0,Male,3
sub123_AB,AB,BB,16,18,19.0,Male,2
sub123_AB,AB,EM,15,17,19.0,Male,2
