participant_id,resp.corr,movie_id,movie_duration,stimulus_id,condition,target_type,age,gender,handedness,vision,resp_corr
sub100_AB,1,1.0,17,AB_1,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,2.0,31,AB_2,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,4.0,32,AB_4,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,5.0,33,AB_5,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,6.0,31,AB_6,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,8.0,24,AB_8,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,9.0,19,AB_9,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,10.0,39,AB_10,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,11.0,29,AB_11,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,12.0,47,AB_12,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,13.0,33,AB_13,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,14.0,22,AB_14,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,15.0,29,AB_15,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,16.0,34,AB_16,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,17.0,27,AB_17,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,19.0,36,AB_19,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,20.0,35,AB_20,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,21.0,39,AB_21,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,22.0,34,AB_22,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,23.0,24,AB_23,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,24.0,24,AB_24,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,25.0,41,AB_25,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,26.0,35,AB_26,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,27.0,50,AB_27,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,29.0,29,AB_29,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,30.0,36,AB_30,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,31.0,41,AB_31,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,32.0,31,AB_32,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,33.0,57,AB_33,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,34.0,32,AB_34,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,35.0,42,AB_35,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,36.0,19,AB_36,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,38.0,20,AB_38,AB,EM,21.0,Male,Right handed,Normal,1
sub100_AB,1,39.0,44,AB_39,AB,BB,21.0,Male,Right handed,Normal,1
sub100_AB,1,40.0,49,AB_40,AB,EM,21.0,Male,Right handed,Normal,1
sub101_AB,1,1.0,17,AB_1,AB,EM,22.0,Female,Right handed,Corrected to normal,1
